prolificID,bonus
5ecbe5e254cc883c02f52be8,1.74
677969b0ecf342ba8257dd94,1.68
5b53e95f4bbe600001465c18,1.92
66704fc73c3a498375d02afa,1.92
65be693353421206e0db1565,1.56
669a92a04b3c1065d6548062,0.45
6658c56f3d9230d99c3e6752,1.77
677673dfeff23e4b3371ad51,1.14
66a3cd1037c430dcfd67efc7,1.56
66660a053b08e2a34f9b945c,1.68
677bbed2d896aee8efecb51d,1.14
5acbd1ecf69e940001d9cd4d,1.92
67488102467ef198ed7af052,1.41
67307057dc7b0be8cd2c64ba,1.74
672d2535c18e5f73d140ce65,1.74
67411aa0172afbb200bd2c59,1.92
63d1c3aec175ba81e9f50cf9,1.77
6672da623917a1e4eca8f4f4,1.53
63fbf0e3b18cc14adc0dbfb6,1.5
66e0ce93d40c6d346de79d94,1.53
673f4203c0f096b00ebdab4b,1.5
674614d1177fdc39d4acc98b,0.45
647869e6f69318bacc341d53,1.74
671139a20b977d78ec2ac1e0,1.41
