prolificID,bonus
62a1d88a5d0482a69726950c,1.68
59ed0a0371734300015ca9de,1.53
58d954ec58d78900016eaf6d,1.89
5ba863a346de410001ecfb2a,1.77
5e42e8ce900ca402ea108764,1.89
5ba94943d08ab20001c8437a,1.8
6773da8fdadbbddbd76799c2,1.77
5a78e410ae9a0b0001a97274,1.8
678340c9ba7d324b063cec2f,1.8
6782d6067693aa5625936129,1.86
6759c797960b90041a076b30,1.47
674adf9066029deae4decd66,1.23
5f31bed06988170de9437634,1.8
6717d0f52cc5e0a7f13b596a,1.89
6772da0f73632e9abc06fa7f,1.29
60fd195d53353279bd0450e4,1.89
5d9e3d92741d7f00136604d5,1.47
5f69fe3c1acc2b021e1de5cb,1.68
673ca28a7b2bf505720a37f8,1.77
66a650edd11f522be18e4722,1.83
6073928369c7517248a58bc5,1.29
5ea60beb07183a615a30a2d4,1.86
60008e2ee4d8c913c602e0cd,1.89
5962a9280b835400010a7617,1.83
60d20bdca2934c2104798fff,1.77
6759bfb82722fd977860d998,1.53
5f9ac9de923dca223848cf19,1.5
6783b3dba1ccc162747a0372,1.23
5baeaaefad2a8d0001401bf2,1.5
5fb29271661abe46e8d138b4,1.83
60d8bed4ebf1a9c19588d20d,1.83
65522d722afa0e9c96085055,1.89
5d93ab29efb8550018d5626c,1.77
667df4ec20cf504d424ac473,1.77
