condition_label,dataset_id,full_cite,short_cite,group_size,prior_relationship,partner_constancy,role_constancy,population,confederates,modality,feedback,backchannel,language,condition_id
original_proximal,bangerter2000_reuse,"Bangerter, Adrian and Smolenski, Carola (2000). Die Wiederverwendung konzeptueller Pakte bei der Bezugnahme auf neue Gegenstände. Unpublished research report.",Bangerter & Smokenski (2000),2,no,yes,no,adult,no,oral-in-person,none,full,Swiss German,1
proximal_original,bangerter2000_reuse,"Bangerter, Adrian and Smolenski, Carola (2000). Die Wiederverwendung konzeptueller Pakte bei der Bezugnahme auf neue Gegenstände. Unpublished research report.",Bangerter & Smokenski (2000),2,no,yes,no,adult,no,oral-in-person,none,full,Swiss German,2
distal_original,bangerter2000_reuse,"Bangerter, Adrian and Smolenski, Carola (2000). Die Wiederverwendung konzeptueller Pakte bei der Bezugnahme auf neue Gegenstände. Unpublished research report.",Bangerter & Smokenski (2000),2,no,yes,no,adult,no,oral-in-person,none,full,Swiss German,3
original_distal,bangerter2000_reuse,"Bangerter, Adrian and Smolenski, Carola (2000). Die Wiederverwendung konzeptueller Pakte bei der Bezugnahme auf neue Gegenstände. Unpublished research report.",Bangerter & Smokenski (2000),2,no,yes,no,adult,no,oral-in-person,none,full,Swiss German,4
