prolificID,bonus
677ce525fb92c62ad51c1327,1.68
678b3d06acbbb7c6a5c48f96,1.74
65c1512b51dc8b722a7fe306,0.09
5ef246c6d2b9060809858e7e,1.83
6045a1851d1ba76f144dd6da,1.74
678a84f75228cb650903f31a,1.5
67882b06404e357c7e311865,1.74
66f37ecfdae55f097fd87a1a,1.74
5ed94af267e7bf10f180c5b0,1.77
5ea9de15df734413226d7f0d,0.42
60153f6faf1cb75da820c070,1.71
671adc8df17a201583ff6034,1.68
5b6392a0105223000100fab8,0.33
67691af8832cdfad3cd87d09,1.41
678ae33e9692623c5fcb16cb,1.41
665b88d4db229675d296733e,1.47
673514a642a25385b3e2a51d,0.42
5e57d38b533eec1818078f0b,1.77
6787f241bc2e4faa0ba56577,0.09
62cc1f77c32651ff9d35a471,1.8
664b9657079b13550ec6b2c8,1.71
597b38ed09bdcf000153fcac,1.74
6778b809a7d8106936d7392e,1.86
5f8820ba0fdd0c276b4d732c,1.92
678836d2ff1c0c297e98f238,1.68
57165ba7c5aca2000a8d32ca,1.92
678aac714b0a4e2e736d440a,1.89
678c10f2da262715257f2eb3,1.5
673e6a5cd5e5d79d03cae5e9,1.83
669d8f03a8742ea4d11b35d8,1.65
5c5ab384e7f42600017cdc27,0.33
6741e32867002c96f036317b,1.65
5d643a1502d67e001a821e59,1.74
678448715995cbec87a374c8,1.74
573156e4070de6000e43457d,1.8
673bb8a8a6388efd4c8e7fc1,1.86
678b08e08a97f77aa776acc4,1.68
6158fd29d73dee366a6fb650,1.68
676e880907815f27b606c60b,1.47
6779672764c58d7d17e55cb9,1.68
60c6c9420b4d17c6a1fa8828,1.89
676b33ed522567a8281134aa,1.74
