roundID,correct,gameID,index,numTrials,repNum,response,target,targetNum,trialNum,tangramURLs
01JJX7C76SFSHTRW5MM7BW5PNM,TRUE,01JJX6YYF86VC98797SWBTV7RR,33,65,2,/tangrams/34_465.png,/tangrams/34_465.png,2,33,"[""/tangrams/201_290.png"",""/tangrams/286_434.png"",""/tangrams/217_276.png"",""/tangrams/34_465.png""]"
01JJX790AVYB189C11XZ71GX91,TRUE,01JJX6YWH2SWXT1ZBYS18XQNYP,16,65,1,/tangrams/103_75.png,/tangrams/103_75.png,1,16,"[""/tangrams/184_451.png"",""/tangrams/357_300.png"",""/tangrams/103_75.png"",""/tangrams/238_157.png""]"
01JJX790AZ8C0T47Y2CPJ0H0DH,TRUE,01JJX6YWH2SWXT1ZBYS18XQNYP,51,65,3,/tangrams/375_323.png,/tangrams/375_323.png,4,51,"[""/tangrams/103_75.png"",""/tangrams/375_323.png"",""/tangrams/11_443.png"",""/tangrams/347_86.png""]"
01JJX7A8YZ6MS967RQCXGW4XDZ,FALSE,01JJX6YXYK2TG8HZGE85R2VEV7,5,65,0,/tangrams/409_251.png,/tangrams/323_399.png,6,5,"[""/tangrams/323_399.png"",""/tangrams/430_166.png"",""/tangrams/411_61.png"",""/tangrams/409_251.png""]"
01JJX7A8ZPS57RM20W4ABF0K07,TRUE,01JJX6YXYK2TG8HZGE85R2VEV7,44,65,2,/tangrams/228_190.png,/tangrams/228_190.png,13,44,"[""/tangrams/197_331.png"",""/tangrams/228_190.png"",""/tangrams/409_251.png"",""/tangrams/453_140.png""]"
01JJX7C75X40RA5QRW9SQ1YVZR,TRUE,01JJX6YYF86VC98797SWBTV7RR,12,65,0,/tangrams/217_276.png,/tangrams/217_276.png,13,12,"[""/tangrams/387_172.png"",""/tangrams/3_53.png"",""/tangrams/217_276.png"",""/tangrams/34_465.png""]"
01JJX7C76G9EVMMDFV469NW2G3,TRUE,01JJX6YYF86VC98797SWBTV7RR,21,65,1,/tangrams/181_390.png,/tangrams/181_390.png,6,21,"[""/tangrams/387_172.png"",""/tangrams/322_317.png"",""/tangrams/210_332.png"",""/tangrams/181_390.png""]"
01JJX7CTYMPWH1MCG927MXWKWJ,TRUE,01JJX6YYX2XESD3E4CEFK68XT1,6,65,0,/tangrams/194_262.png,/tangrams/194_262.png,7,6,"[""/tangrams/314_466.png"",""/tangrams/194_262.png"",""/tangrams/427_201.png"",""/tangrams/109_7.png""]"
01JJX77JCH1HGPAJT3X1C843P1,TRUE,01JJX6YSAHS8D1F3C65G127ZEB,27,65,1,/tangrams/366_181.png,/tangrams/366_181.png,12,27,"[""/tangrams/366_181.png"",""/tangrams/254_272.png"",""/tangrams/65_453.png"",""/tangrams/42_29.png""]"
01JJX7K1AYT0RTFK97RDZ9NKZN,TRUE,01JJX6YZP7Z3HS5ACZ90KMY414,30,65,1,/tangrams/176_181.png,/tangrams/176_181.png,15,30,"[""/tangrams/456_213.png"",""/tangrams/176_181.png"",""/tangrams/204_79.png"",""/tangrams/318_11.png""]"
01JJX7CV0AJ0HEPWF625YJEJH0,TRUE,01JJX6YYX2XESD3E4CEFK68XT1,52,65,3,/tangrams/194_262.png,/tangrams/194_262.png,5,52,"[""/tangrams/107_222.png"",""/tangrams/333_8.png"",""/tangrams/194_262.png"",""/tangrams/109_7.png""]"
01JJX7K19Y3JW3BTMW71C2692N,TRUE,01JJX6YZP7Z3HS5ACZ90KMY414,19,65,1,/tangrams/291_328.png,/tangrams/291_328.png,4,19,"[""/tangrams/291_328.png"",""/tangrams/456_213.png"",""/tangrams/425_5.png"",""/tangrams/39_219.png""]"
01JJX7A9032DJTR6M9X1WE66KW,TRUE,01JJX6YXYK2TG8HZGE85R2VEV7,36,65,2,/tangrams/283_336.png,/tangrams/283_336.png,5,36,"[""/tangrams/8_113.png"",""/tangrams/283_336.png"",""/tangrams/430_166.png"",""/tangrams/146_388.png""]"
01JJX7CV10H2BV44P2GD39JWKQ,TRUE,01JJX6YYX2XESD3E4CEFK68XT1,48,65,3,/tangrams/278_303.png,/tangrams/278_303.png,1,48,"[""/tangrams/278_303.png"",""/tangrams/194_262.png"",""/tangrams/261_395.png"",""/tangrams/414_305.png""]"
01JJX7GK0J772W3S16K732P4PZ,TRUE,01JJX6YZ8GH8JBP6WJP3ZZ4ER2,7,65,0,/tangrams/144_373.png,/tangrams/144_373.png,8,7,"[""/tangrams/187_42.png"",""/tangrams/144_373.png"",""/tangrams/118_45.png"",""/tangrams/83_439.png""]"
01JJX7GK21G3PJPMR7HPT116XQ,TRUE,01JJX6YZ8GH8JBP6WJP3ZZ4ER2,34,65,2,/tangrams/107_389.png,/tangrams/107_389.png,3,34,"[""/tangrams/115_51.png"",""/tangrams/83_439.png"",""/tangrams/107_389.png"",""/tangrams/101_113.png""]"
01JJX7GK2FZ64MHJ1XQZACB1GK,TRUE,01JJX6YZ8GH8JBP6WJP3ZZ4ER2,28,65,1,/tangrams/369_77.png,/tangrams/369_77.png,13,28,"[""/tangrams/369_77.png"",""/tangrams/427_111.png"",""/tangrams/118_45.png"",""/tangrams/97_288.png""]"
01JJX7QHFZJ4E3YFC4SM2PHXB9,NA,01JJX6Z05GMEP3WV5GFJB7Y0N5,44,65,2,NA,/tangrams/358_448.png,13,44,"[""/tangrams/358_448.png"",""/tangrams/195_415.png"",""/tangrams/50_32.png"",""/tangrams/305_62.png""]"
01JJX893GRVXCEY1KZBM6PJR1B,NA,01JJX6Z0ZAB2PZ13PT79622M0D,57,65,3,NA,/tangrams/310_72.png,10,57,"[""/tangrams/275_364.png"",""/tangrams/310_72.png"",""/tangrams/277_182.png"",""/tangrams/469_366.png""]"
01JJX7C75D44F5MCPES7CEQD8E,TRUE,01JJX6YYF86VC98797SWBTV7RR,1,65,0,/tangrams/234_225.png,/tangrams/234_225.png,2,1,"[""/tangrams/234_225.png"",""/tangrams/322_317.png"",""/tangrams/67_58.png"",""/tangrams/469_79.png""]"
01JJX790B5VBHGJQFS80B9VZX3,TRUE,01JJX6YWH2SWXT1ZBYS18XQNYP,35,65,2,/tangrams/78_128.png,/tangrams/78_128.png,4,35,"[""/tangrams/127_94.png"",""/tangrams/149_350.png"",""/tangrams/78_128.png"",""/tangrams/124_164.png""]"
01JJX7A8Z2X51RVFZ711DRCFMV,TRUE,01JJX6YXYK2TG8HZGE85R2VEV7,8,65,0,/tangrams/146_388.png,/tangrams/146_388.png,9,8,"[""/tangrams/146_388.png"",""/tangrams/197_331.png"",""/tangrams/453_140.png"",""/tangrams/411_61.png""]"
01JJX7A8ZQY4R506EH991BKRRX,TRUE,01JJX6YXYK2TG8HZGE85R2VEV7,10,65,0,/tangrams/71_211.png,/tangrams/71_211.png,11,10,"[""/tangrams/8_113.png"",""/tangrams/220_448.png"",""/tangrams/71_211.png"",""/tangrams/229_340.png""]"
01JJX7CTZ8WPJQ1FDP0TV05N3H,TRUE,01JJX6YYX2XESD3E4CEFK68XT1,18,65,1,/tangrams/261_395.png,/tangrams/261_395.png,3,18,"[""/tangrams/261_395.png"",""/tangrams/107_222.png"",""/tangrams/333_8.png"",""/tangrams/427_201.png""]"
01JJX78VMVWVDRFDCYE459HTG7,TRUE,01JJX6YV2CQ98NT3R2YNS53P66,57,65,3,/tangrams/403_312.png,/tangrams/403_312.png,10,57,"[""/tangrams/199_196.png"",""/tangrams/51_442.png"",""/tangrams/354_257.png"",""/tangrams/403_312.png""]"
01JJX7K1CNSG4ZB4XN6X92VX00,TRUE,01JJX6YZP7Z3HS5ACZ90KMY414,51,65,3,/tangrams/454_212.png,/tangrams/454_212.png,4,51,"[""/tangrams/378_133.png"",""/tangrams/454_212.png"",""/tangrams/249_216.png"",""/tangrams/204_79.png""]"
01JJX88SWTQ9PBQXX1TD4DQ1FB,TRUE,01JJX6Z0G4Z93DBYNMFDACJA51,31,65,1,/tangrams/57_123.png,/tangrams/57_123.png,16,31,"[""/tangrams/285_284.png"",""/tangrams/222_296.png"",""/tangrams/57_123.png"",""/tangrams/294_326.png""]"
