age,gender,native_language,race,education,player_id
31,female,English,White Native American,some-college,203
34,female,English,White,bachelors,204
24,female,English,Asian,bachelors,205
64,male,English,White,high-school,206
57,NA,NA,NA,NA,207
33,female,English,White,high-school,208
35,female,English,White,bachelors,209
56,male,English,White,bachelors,210
30,female,English,White,bachelors,211
27,male,English,White,bachelors,212
39,female,English,White,high-school,213
37,male,English,White,some-college,214
31,male,English,White,high-school,215
41,female,English,White,bachelors,216
63,female,English,White,bachelors,217
55,female,English,White,advanced-degree,218
25,male,English,White Hispanic,some-college,219
52,female,English,White,bachelors,220
33,male,English,White,bachelors,221
40,female,English,White,some-college,222
NA,NA,NA,NA,NA,223
NA,NA,NA,NA,NA,224
NA,NA,NA,NA,NA,225
43,male,English,Asian,bachelors,226
39,female,English,Asian,advanced-degree,227
21,female,Scottish,White,bachelors,228
25,male,English,White,bachelors,229
53,male,English,White,high-school,230
19,male,English,White,high-school,231
38,male,English,White,some-college,232
21,male,English,White,high-school,233
54,male,English,White,some-college,234
NA,NA,NA,NA,NA,235
41,female,English,Black,some-college,236
54,female,English,White,some-college,237
22,female,English,NA,bachelors,238
56,male,English,White,some-college,239
41,male,English,White,advanced-degree,240
48,female,English,White,high-school,241
26,female,English,White,high-school,242
41,female,English,White,bachelors,243
31,male,English,White,high-school,244
36,female,English,Hispanic,bachelors,245
31,female,English,Black,bachelors,246
19,male,English,White,some-college,247
18,female,English,White Black Asian,some-college,248
NA,NA,NA,NA,NA,249
60,male,English,White,bachelors,250
33,female,English,Black,bachelors,251
53,male,English,White,some-college,252
21,female,English,Black,high-school,253
49,female,English,White,advanced-degree,254
46,male,English,White,high-school,255
64,male,English,White,advanced-degree,256
23,male,English,White,some-college,257
33,female,English,White,some-college,258
20,female,English,Black,high-school,259
22,male,English,White,some-college,260
34,female,English,White,bachelors,261
49,male,English,White,some-college,262
37,male,English,White,some-college,263
26,male,English,White,advanced-degree,264
29,female,English,White,bachelors,265
42,male,English,White,bachelors,266
38,female,English,White,bachelors,267
41,male,English,White,bachelors,268
32,female,English,White,advanced-degree,269
39,male,English,White,bachelors,270
40,male,English,White,some-college,271
55,female,English,White,bachelors,272
51,female,English,White,bachelors,273
22,female,English,White,high-school,274
32,male,English,White,NA,275
31,female,English,White,bachelors,276
35,male,English,White,high-school,277
33,female,English,White,some-college,278
36,male,English,Asian,bachelors,279
32,female,English,White,high-school,280
60,female,English,White,high-school,281
44,male,English,Asian,bachelors,282
35,male,English,Black,some-college,283
NA,NA,NA,NA,NA,284
36,male,English,White,bachelors,285
