room_num,option_set,target,stage_num,trial_num,rep_num,exclude,exclusion_reason,condition_id,describer,matchers,trial_id,game_id
2,E;F;G;H,F,3,40,10,FALSE,NA,1,3,2,77,1
1,E;F;G;H,H,3,40,10,FALSE,NA,1,1,4,78,1
1,E;F;G;H,G,3,41,11,FALSE,NA,1,4,1,79,1
2,E;F;G;H,G,3,41,11,FALSE,NA,1,2,3,80,1
1,E;F;G;H,H,3,42,11,FALSE,NA,1,4,1,81,1
2,E;F;G;H,E,3,42,11,FALSE,NA,1,2,3,82,1
1,E;F;G;H,E,3,43,11,FALSE,NA,1,4,1,83,1
2,E;F;G;H,F,3,43,11,FALSE,NA,1,2,3,84,1
1,E;F;G;H,F,3,44,11,FALSE,NA,1,4,1,85,1
2,E;F;G;H,H,3,44,11,FALSE,NA,1,2,3,86,1
1,E;F;G;H,F,3,45,12,FALSE,NA,1,1,4,87,1
2,E;F;G;H,G,3,45,12,FALSE,NA,1,3,2,88,1
1,E;F;G;H,E,3,46,12,FALSE,NA,1,1,4,89,1
2,E;F;G;H,F,3,46,12,FALSE,NA,1,3,2,90,1
1,E;F;G;H,H,3,47,12,FALSE,NA,1,1,4,91,1
2,E;F;G;H,E,3,47,12,FALSE,NA,1,3,2,92,1
2,E;F;G;H,H,3,48,12,FALSE,NA,1,3,2,93,1
1,E;F;G;H,G,3,48,12,FALSE,NA,1,1,4,94,1
1,E;F;G;H,H,1,1,1,FALSE,NA,1,5,6,95,2
1,E;F;G;H,E,1,2,1,FALSE,NA,1,5,6,96,2
2,E;F;G;H,H,1,2,1,FALSE,NA,1,7,8,97,2
1,E;F;G;H,G,1,3,1,FALSE,NA,1,5,6,98,2
2,E;F;G;H,G,1,3,1,FALSE,NA,1,7,8,99,2
1,E;F;G;H,F,1,4,1,FALSE,NA,1,5,6,100,2
2,E;F;G;H,E,1,4,1,FALSE,NA,1,7,8,101,2
2,E;F;G;H,E,1,5,2,FALSE,NA,1,8,7,102,2
1,E;F;G;H,H,1,5,2,FALSE,NA,1,6,5,103,2
2,E;F;G;H,H,1,6,2,FALSE,NA,1,8,7,104,2
1,E;F;G;H,G,1,6,2,FALSE,NA,1,6,5,105,2
1,E;F;G;H,E,1,7,2,FALSE,NA,1,6,5,106,2
2,E;F;G;H,G,1,7,2,FALSE,NA,1,8,7,107,2
1,E;F;G;H,F,1,8,2,FALSE,NA,1,6,5,108,2
2,E;F;G;H,F,1,8,2,FALSE,NA,1,8,7,109,2
1,E;F;G;H,G,1,9,3,FALSE,NA,1,5,6,110,2
2,E;F;G;H,E,1,9,3,FALSE,NA,1,7,8,111,2
1,E;F;G;H,H,1,10,3,FALSE,NA,1,5,6,112,2
2,E;F;G;H,F,1,10,3,FALSE,NA,1,7,8,113,2
1,E;F;G;H,F,1,11,3,FALSE,NA,1,5,6,114,2
2,E;F;G;H,G,1,11,3,FALSE,NA,1,7,8,115,2
2,E;F;G;H,H,1,12,3,FALSE,NA,1,7,8,116,2
1,E;F;G;H,E,1,12,3,FALSE,NA,1,5,6,117,2
1,E;F;G;H,H,1,13,4,FALSE,NA,1,6,5,118,2
2,E;F;G;H,F,1,13,4,FALSE,NA,1,8,7,119,2
2,E;F;G;H,G,1,14,4,FALSE,NA,1,8,7,120,2
1,E;F;G;H,E,1,14,4,FALSE,NA,1,6,5,121,2
1,E;F;G;H,G,1,15,4,FALSE,NA,1,6,5,122,2
2,E;F;G;H,E,1,15,4,FALSE,NA,1,8,7,123,2
2,E;F;G;H,H,1,16,4,FALSE,NA,1,8,7,124,2
1,E;F;G;H,F,1,16,4,FALSE,NA,1,6,5,125,2
1,E;F;G;H,E,2,17,5,FALSE,NA,1,5,8,126,2
2,E;F;G;H,F,2,17,5,FALSE,NA,1,6,7,127,2
1,E;F;G;H,F,2,18,5,FALSE,NA,1,5,8,128,2
2,E;F;G;H,H,2,18,5,FALSE,NA,1,6,7,129,2
1,E;F;G;H,H,2,19,5,FALSE,NA,1,5,8,130,2
2,E;F;G;H,G,2,19,5,FALSE,NA,1,6,7,131,2
2,E;F;G;H,E,2,20,5,FALSE,NA,1,6,7,132,2
1,E;F;G;H,G,2,20,5,FALSE,NA,1,5,8,133,2
1,E;F;G;H,F,2,21,6,FALSE,NA,1,8,5,134,2
2,E;F;G;H,F,2,21,6,FALSE,NA,1,7,6,135,2
1,E;F;G;H,H,2,22,6,FALSE,NA,1,8,5,136,2
2,E;F;G;H,E,2,22,6,FALSE,NA,1,7,6,137,2
2,E;F;G;H,H,2,23,6,FALSE,NA,1,7,6,138,2
1,E;F;G;H,G,2,23,6,FALSE,NA,1,8,5,139,2
1,E;F;G;H,E,2,24,6,FALSE,NA,1,8,5,140,2
2,E;F;G;H,G,2,24,6,FALSE,NA,1,7,6,141,2
2,E;F;G;H,H,2,25,7,FALSE,NA,1,6,7,142,2
1,E;F;G;H,F,2,25,7,FALSE,NA,1,5,8,143,2
1,E;F;G;H,H,2,26,7,FALSE,NA,1,5,8,144,2
2,E;F;G;H,G,2,26,7,FALSE,NA,1,6,7,145,2
2,E;F;G;H,E,2,27,7,FALSE,NA,1,6,7,146,2
1,E;F;G;H,E,2,27,7,FALSE,NA,1,5,8,147,2
2,E;F;G;H,F,2,28,7,FALSE,NA,1,6,7,148,2
1,E;F;G;H,G,2,28,7,FALSE,NA,1,5,8,149,2
1,E;F;G;H,E,2,29,8,FALSE,NA,1,8,5,150,2
2,E;F;G;H,E,2,29,8,FALSE,NA,1,7,6,151,2
1,E;F;G;H,G,2,30,8,FALSE,NA,1,8,5,152,2
2,E;F;G;H,H,2,30,8,FALSE,NA,1,7,6,153,2
1,E;F;G;H,H,2,31,8,FALSE,NA,1,8,5,154,2
2,E;F;G;H,F,2,31,8,FALSE,NA,1,7,6,155,2
2,E;F;G;H,G,2,32,8,FALSE,NA,1,7,6,156,2
1,E;F;G;H,F,2,32,8,FALSE,NA,1,8,5,157,2
1,E;F;G;H,G,3,33,9,FALSE,NA,1,5,7,158,2
2,E;F;G;H,G,3,33,9,FALSE,NA,1,8,6,159,2
2,E;F;G;H,E,3,34,9,FALSE,NA,1,8,6,160,2
1,E;F;G;H,H,3,34,9,FALSE,NA,1,5,7,161,2
2,E;F;G;H,H,3,35,9,FALSE,NA,1,8,6,162,2
1,E;F;G;H,E,3,35,9,FALSE,NA,1,5,7,163,2
2,E;F;G;H,F,3,36,9,FALSE,NA,1,8,6,164,2
1,E;F;G;H,F,3,36,9,FALSE,NA,1,5,7,165,2
2,E;F;G;H,E,3,37,10,FALSE,NA,1,6,8,166,2
1,E;F;G;H,E,3,37,10,FALSE,NA,1,7,5,167,2
2,E;F;G;H,F,3,38,10,FALSE,NA,1,6,8,168,2
1,E;F;G;H,F,3,38,10,FALSE,NA,1,7,5,169,2
2,E;F;G;H,G,3,39,10,FALSE,NA,1,6,8,170,2
1,E;F;G;H,G,3,39,10,FALSE,NA,1,7,5,171,2
2,E;F;G;H,H,3,40,10,FALSE,NA,1,6,8,172,2
1,E;F;G;H,H,3,40,10,FALSE,NA,1,7,5,173,2
1,E;F;G;H,F,3,41,11,FALSE,NA,1,5,7,174,2
2,E;F;G;H,H,3,41,11,FALSE,NA,1,8,6,175,2
1,E;F;G;H,G,3,42,11,FALSE,NA,1,5,7,176,2
2,E;F;G;H,G,3,42,11,FALSE,NA,1,8,6,177,2
1,E;F;G;H,E,3,43,11,FALSE,NA,1,5,7,178,2
2,E;F;G;H,E,3,43,11,FALSE,NA,1,8,6,179,2
1,E;F;G;H,H,3,44,11,FALSE,NA,1,5,7,180,2
2,E;F;G;H,F,3,44,11,FALSE,NA,1,8,6,181,2
2,E;F;G;H,G,3,45,12,FALSE,NA,1,6,8,182,2
