condition_label,dataset_id,full_cite,short_cite,group_size,prior_relationship,partner_constancy,role_constancy,population,confederates,modality,feedback,backchannel,language,condition_id
side participant,branigan2016_doyouknow,"Branigan, H. P., Bell, J., & McLean, J. F. (2016). Do you know what i know? The impact of participant role in children's referential communication. Frontiers in psychology, 7, 213.",Branigan et al. (2016),3,yes,no,yes,child,no,oral-in-person,limited,full,English,1
overhearer,branigan2016_doyouknow,"Branigan, H. P., Bell, J., & McLean, J. F. (2016). Do you know what i know? The impact of participant role in children's referential communication. Frontiers in psychology, 7, 213.",Branigan et al. (2016),3,yes,no,yes,child,no,oral-in-person,limited,full,English,2
naive participant,branigan2016_doyouknow,"Branigan, H. P., Bell, J., & McLean, J. F. (2016). Do you know what i know? The impact of participant role in children's referential communication. Frontiers in psychology, 7, 213.",Branigan et al. (2016),3,yes,no,yes,child,no,oral-in-person,limited,full,English,3
