image_id,image_type,kilogram_id,image_path
COCO_val2014_000000325666.jpg,photograph,NA,NA
COCO_val2014_000000178982.jpg,photograph,NA,NA
COCO_val2014_000000013168.jpg,photograph,NA,NA
COCO_val2014_000000027285.jpg,photograph,NA,NA
COCO_val2014_000000053697.jpg,photograph,NA,NA
COCO_val2014_000000548523.jpg,photograph,NA,NA
COCO_val2014_000000454907.jpg,photograph,NA,NA
COCO_val2014_000000574666.jpg,photograph,NA,NA
COCO_val2014_000000285314.jpg,photograph,NA,NA
COCO_val2014_000000050326.jpg,photograph,NA,NA
COCO_val2014_000000083277.jpg,photograph,NA,NA
COCO_val2014_000000212545.jpg,photograph,NA,NA
COCO_val2014_000000468043.jpg,photograph,NA,NA
COCO_val2014_000000318888.jpg,photograph,NA,NA
COCO_val2014_000000193401.jpg,photograph,NA,NA
COCO_val2014_000000363922.jpg,photograph,NA,NA
COCO_val2014_000000350855.jpg,photograph,NA,NA
COCO_val2014_000000182170.jpg,photograph,NA,NA
COCO_val2014_000000447854.jpg,photograph,NA,NA
COCO_val2014_000000322987.jpg,photograph,NA,NA
COCO_val2014_000000516766.jpg,photograph,NA,NA
COCO_val2014_000000190700.jpg,photograph,NA,NA
COCO_val2014_000000475330.jpg,photograph,NA,NA
COCO_val2014_000000408534.jpg,photograph,NA,NA
COCO_val2014_000000317070.jpg,photograph,NA,NA
COCO_val2014_000000272958.jpg,photograph,NA,NA
COCO_val2014_000000339676.jpg,photograph,NA,NA
COCO_val2014_000000050962.jpg,photograph,NA,NA
COCO_val2014_000000092644.jpg,photograph,NA,NA
COCO_val2014_000000435308.jpg,photograph,NA,NA
COCO_val2014_000000111909.jpg,photograph,NA,NA
COCO_val2014_000000514518.jpg,photograph,NA,NA
COCO_val2014_000000465489.jpg,photograph,NA,NA
COCO_val2014_000000428254.jpg,photograph,NA,NA
COCO_val2014_000000290602.jpg,photograph,NA,NA
COCO_val2014_000000194903.jpg,photograph,NA,NA
COCO_val2014_000000043314.jpg,photograph,NA,NA
COCO_val2014_000000281500.jpg,photograph,NA,NA
COCO_val2014_000000567276.jpg,photograph,NA,NA
COCO_val2014_000000019763.jpg,photograph,NA,NA
COCO_val2014_000000050422.jpg,photograph,NA,NA
COCO_val2014_000000535312.jpg,photograph,NA,NA
COCO_val2014_000000317798.jpg,photograph,NA,NA
COCO_val2014_000000468162.jpg,photograph,NA,NA
COCO_val2014_000000198625.jpg,photograph,NA,NA
COCO_val2014_000000044934.jpg,photograph,NA,NA
COCO_val2014_000000572850.jpg,photograph,NA,NA
COCO_val2014_000000391269.jpg,photograph,NA,NA
COCO_val2014_000000093670.jpg,photograph,NA,NA
COCO_val2014_000000427965.jpg,photograph,NA,NA
COCO_val2014_000000134807.jpg,photograph,NA,NA
COCO_val2014_000000483358.jpg,photograph,NA,NA
COCO_val2014_000000423113.jpg,photograph,NA,NA
COCO_val2014_000000485212.jpg,photograph,NA,NA
COCO_val2014_000000199442.jpg,photograph,NA,NA
COCO_val2014_000000140076.jpg,photograph,NA,NA
COCO_val2014_000000290477.jpg,photograph,NA,NA
COCO_val2014_000000213224.jpg,photograph,NA,NA
COCO_val2014_000000166401.jpg,photograph,NA,NA
COCO_val2014_000000515792.jpg,photograph,NA,NA
COCO_val2014_000000289620.jpg,photograph,NA,NA
COCO_val2014_000000536416.jpg,photograph,NA,NA
COCO_val2014_000000566049.jpg,photograph,NA,NA
COCO_val2014_000000460732.jpg,photograph,NA,NA
COCO_val2014_000000014592.jpg,photograph,NA,NA
COCO_val2014_000000360318.jpg,photograph,NA,NA
COCO_val2014_000000045387.jpg,photograph,NA,NA
COCO_val2014_000000391199.jpg,photograph,NA,NA
COCO_val2014_000000297578.jpg,photograph,NA,NA
COCO_val2014_000000386089.jpg,photograph,NA,NA
COCO_val2014_000000059567.jpg,photograph,NA,NA
COCO_val2014_000000159716.jpg,photograph,NA,NA
COCO_val2014_000000334417.jpg,photograph,NA,NA
COCO_val2014_000000558640.jpg,photograph,NA,NA
COCO_val2014_000000473237.jpg,photograph,NA,NA
COCO_val2014_000000214919.jpg,photograph,NA,NA
COCO_val2014_000000553667.jpg,photograph,NA,NA
COCO_val2014_000000256660.jpg,photograph,NA,NA
COCO_val2014_000000359105.jpg,photograph,NA,NA
COCO_val2014_000000271177.jpg,photograph,NA,NA
COCO_val2014_000000142537.jpg,photograph,NA,NA
COCO_val2014_000000566249.jpg,photograph,NA,NA
COCO_val2014_000000264121.jpg,photograph,NA,NA
COCO_val2014_000000068740.jpg,photograph,NA,NA
COCO_val2014_000000483941.jpg,photograph,NA,NA
COCO_val2014_000000453390.jpg,photograph,NA,NA
COCO_val2014_000000359843.jpg,photograph,NA,NA
COCO_val2014_000000001347.jpg,photograph,NA,NA
COCO_val2014_000000402623.jpg,photograph,NA,NA
COCO_val2014_000000383322.jpg,photograph,NA,NA
COCO_val2014_000000392320.jpg,photograph,NA,NA
COCO_val2014_000000048475.jpg,photograph,NA,NA
COCO_val2014_000000117352.jpg,photograph,NA,NA
COCO_val2014_000000359947.jpg,photograph,NA,NA
COCO_val2014_000000389340.jpg,photograph,NA,NA
COCO_val2014_000000182849.jpg,photograph,NA,NA
COCO_val2014_000000256180.jpg,photograph,NA,NA
COCO_val2014_000000125539.jpg,photograph,NA,NA
COCO_val2014_000000151896.jpg,photograph,NA,NA
COCO_val2014_000000532671.jpg,photograph,NA,NA
COCO_val2014_000000047882.jpg,photograph,NA,NA
COCO_val2014_000000212688.jpg,photograph,NA,NA
COCO_val2014_000000579970.jpg,photograph,NA,NA
COCO_val2014_000000571804.jpg,photograph,NA,NA
COCO_val2014_000000426611.jpg,photograph,NA,NA
COCO_val2014_000000006460.jpg,photograph,NA,NA
COCO_val2014_000000061897.jpg,photograph,NA,NA
COCO_val2014_000000050431.jpg,photograph,NA,NA
COCO_val2014_000000566543.jpg,photograph,NA,NA
COCO_val2014_000000455299.jpg,photograph,NA,NA
COCO_val2014_000000046378.jpg,photograph,NA,NA
COCO_val2014_000000373341.jpg,photograph,NA,NA
COCO_val2014_000000171601.jpg,photograph,NA,NA
COCO_val2014_000000231402.jpg,photograph,NA,NA
COCO_val2014_000000213359.jpg,photograph,NA,NA
COCO_val2014_000000547013.jpg,photograph,NA,NA
COCO_val2014_000000293026.jpg,photograph,NA,NA
COCO_val2014_000000081251.jpg,photograph,NA,NA
COCO_val2014_000000231364.jpg,photograph,NA,NA
COCO_val2014_000000366931.jpg,photograph,NA,NA
COCO_val2014_000000128417.jpg,photograph,NA,NA
COCO_val2014_000000090501.jpg,photograph,NA,NA
COCO_val2014_000000205513.jpg,photograph,NA,NA
COCO_val2014_000000426542.jpg,photograph,NA,NA
COCO_val2014_000000180539.jpg,photograph,NA,NA
COCO_val2014_000000298933.jpg,photograph,NA,NA
COCO_val2014_000000140963.jpg,photograph,NA,NA
COCO_val2014_000000432378.jpg,photograph,NA,NA
COCO_val2014_000000261999.jpg,photograph,NA,NA
COCO_val2014_000000143247.jpg,photograph,NA,NA
COCO_val2014_000000350675.jpg,photograph,NA,NA
COCO_val2014_000000281123.jpg,photograph,NA,NA
COCO_val2014_000000250893.jpg,photograph,NA,NA
COCO_val2014_000000129065.jpg,photograph,NA,NA
COCO_val2014_000000544538.jpg,photograph,NA,NA
COCO_val2014_000000575896.jpg,photograph,NA,NA
COCO_val2014_000000017534.jpg,photograph,NA,NA
COCO_val2014_000000548246.jpg,photograph,NA,NA
