id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01JHDSGVX2SRHA23DT0F97EBA0,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-12T17:38:24.290615246Z,,,true,2025-01-12T17:38:24.318219459Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:38:24.290615246Z,created,2025-01-12T17:38:24.290615246Z
01JHDRYCASHM533JE5DAZYMGMC,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":2}]}}",2025-01-12T17:28:18.521143693Z,all games finished,2025-01-12T18:25:18.706783701Z,true,2025-01-12T17:28:18.534584634Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:28:18.521143693Z,ended,2025-01-12T18:25:18.706783701Z
01JHDRYFHR67P3C94Z2470CP6S,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":2}]}}",2025-01-12T17:28:21.816636505Z,all games finished,2025-01-12T18:17:17.217008042Z,true,2025-01-12T17:28:21.826287742Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:28:21.816636505Z,ended,2025-01-12T18:17:17.217008042Z
01JHDS0JD6F5ZWXYZ2Y0138XQT,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":2}]}}",2025-01-12T17:29:30.278613154Z,all games finished,2025-01-12T18:10:30.66013242Z,true,2025-01-12T17:29:30.288761104Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:29:30.278613154Z,ended,2025-01-12T18:10:30.66013242Z
01JHDSENGSXYPSFF0ESZ89GVTZ,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-12T17:37:12.21798094Z,,,true,2025-01-12T17:37:12.25697779Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:37:12.21798094Z,running,2025-01-12T17:37:16.854269985Z
01JHDSENY4G00AY1HMTWTRQZZH,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-12T17:37:12.644963971Z,,,true,2025-01-12T17:37:12.660189821Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:37:12.644963971Z,running,2025-01-12T17:37:16.233637368Z
01JHDSEPWRSYEEMJ33KV1P7WXD,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-12T17:37:13.624879228Z,,,true,2025-01-12T17:37:13.643895019Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:37:13.624879228Z,running,2025-01-12T17:37:14.452819318Z
01JHDRXZZ1K7XTRTT10AGGG9CS,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":2}]}}",2025-01-12T17:28:05.857941827Z,all games finished,2025-01-12T18:07:49.270668916Z,true,2025-01-12T17:28:05.878960057Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:28:05.857941827Z,ended,2025-01-12T18:07:49.270668916Z
01JHDRY6FB1TBNBEXV082FF6QB,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":2}]}}",2025-01-12T17:28:12.523386152Z,all games finished,2025-01-12T18:02:30.136407688Z,true,2025-01-12T17:28:12.535642524Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:28:12.523386152Z,ended,2025-01-12T18:02:30.136407688Z
01JHDSEJNE0PF4D7D0T70GWRBY,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-12T17:37:09.29404005Z,all games finished,2025-01-12T18:29:01.562037314Z,true,2025-01-12T17:37:11.984989802Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:37:09.29404005Z,ended,2025-01-12T18:29:01.562037314Z
01JHDSEKSNXW0NZAB1VJP04TSM,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-12T17:37:10.453774197Z,all games finished,2025-01-12T18:26:59.820318853Z,true,2025-01-12T17:37:12.012979379Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:37:10.453774197Z,ended,2025-01-12T18:26:59.820318853Z
01JHDRZYSA58F55VK29JEE76Y9,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":2}]}}",2025-01-12T17:29:10.186721676Z,,,true,2025-01-12T17:29:10.198206382Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:29:10.186721676Z,terminated,2025-01-12T17:34:44.115858373Z
01JHDS176P2AW3PG6WBZRGX0RE,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":2}]}}",2025-01-12T17:29:51.574364252Z,,,true,2025-01-12T17:29:51.584364679Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:29:51.574364252Z,terminated,2025-01-12T17:34:42.093652121Z
