room_num,image_options,target_image,stage_num,trial_num,round_num,exclude,exclusion_reason,order_match,condition_id,describer,matchers,trial_id,game_id
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_7,1,3,1,FALSE,NA,match,1,28,8,28,8
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_7,1,3,1,FALSE,NA,match,1,29,9,29,9
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_7,1,3,1,FALSE,NA,match,1,30,10,30,10
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_5,1,4,1,FALSE,NA,match,1,21,1,31,1
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_5,1,4,1,FALSE,NA,match,1,22,2,32,2
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_5,1,4,1,FALSE,NA,match,1,23,3,33,3
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_5,1,4,1,FALSE,NA,match,1,24,4,34,4
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_5,1,4,1,FALSE,NA,match,1,25,5,35,5
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_5,1,4,1,FALSE,NA,match,1,26,6,36,6
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_5,1,4,1,FALSE,NA,match,1,27,7,37,7
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_5,1,4,1,FALSE,NA,match,1,28,8,38,8
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_5,1,4,1,FALSE,NA,match,1,29,9,39,9
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_5,1,4,1,FALSE,NA,match,1,30,10,40,10
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_10,1,5,1,FALSE,NA,match,1,21,1,41,1
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_10,1,5,1,FALSE,NA,match,1,22,2,42,2
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_10,1,5,1,FALSE,NA,match,1,23,3,43,3
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_10,1,5,1,FALSE,NA,match,1,24,4,44,4
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_10,1,5,1,FALSE,NA,match,1,25,5,45,5
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_10,1,5,1,FALSE,NA,match,1,26,6,46,6
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_10,1,5,1,FALSE,NA,match,1,27,7,47,7
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_10,1,5,1,FALSE,NA,match,1,28,8,48,8
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_10,1,5,1,FALSE,NA,match,1,29,9,49,9
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_10,1,5,1,FALSE,NA,match,1,30,10,50,10
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_1,1,6,1,FALSE,NA,match,1,21,1,51,1
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_1,1,6,1,FALSE,NA,match,1,22,2,52,2
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_1,1,6,1,FALSE,NA,match,1,23,3,53,3
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_1,1,6,1,FALSE,NA,match,1,24,4,54,4
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_1,1,6,1,FALSE,NA,match,1,25,5,55,5
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_1,1,6,1,FALSE,NA,match,1,26,6,56,6
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_1,1,6,1,FALSE,NA,match,1,27,7,57,7
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_1,1,6,1,FALSE,NA,match,1,28,8,58,8
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_1,1,6,1,FALSE,NA,match,1,29,9,59,9
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_1,1,6,1,FALSE,NA,match,1,30,10,60,10
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_4,1,7,1,FALSE,NA,match,1,21,1,61,1
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_4,1,7,1,FALSE,NA,match,1,22,2,62,2
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_4,1,7,1,FALSE,NA,match,1,23,3,63,3
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_4,1,7,1,FALSE,NA,match,1,24,4,64,4
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_4,1,7,1,FALSE,NA,match,1,25,5,65,5
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_4,1,7,1,FALSE,NA,match,1,26,6,66,6
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_4,1,7,1,FALSE,NA,match,1,27,7,67,7
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_4,1,7,1,FALSE,NA,match,1,28,8,68,8
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_4,1,7,1,FALSE,NA,match,1,29,9,69,9
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_4,1,7,1,FALSE,NA,match,1,30,10,70,10
