roundID,text,playerID,director_msg,chit_chat
01JJWT2D1PNRKA0M1E3H52NWA2,2 poles,01JJWST72D8JMBPRE0MBSC2V01,TRUE,FALSE
01JJWT2D7Z7KTDT1T80BQPC940,2 poles,01JJWST72D8JMBPRE0MBSC2V01,TRUE,FALSE
01JJWT2D77TE7XT44D842023KF,2 poles,01JJWT0FH8RHRQM88PVVV8GQBQ,TRUE,FALSE
01JJWT2CVBAJZP78JFF9JH98E0,2 poles,01JJWT0FH8RHRQM88PVVV8GQBQ,TRUE,FALSE
01JJWT2DS653ZPAPZDTFWDD508,2 poles,01JJWST72D8JMBPRE0MBSC2V01,TRUE,FALSE
01JJWT2DJG57CC26HWBH8QBDK6,2 poles,01JJWT0FH8RHRQM88PVVV8GQBQ,TRUE,FALSE
01JJWT2DKZRW3QN0E40PK7D06J,2 poles,01JJWST72D8JMBPRE0MBSC2V01,TRUE,FALSE
01JJWT2DP6K1JHA0XNSHX77ZH9,2 poles,01JJWT0FH8RHRQM88PVVV8GQBQ,TRUE,FALSE
01JJWT2DBSQSG77ASBFZQHQYHA,2 poles,01JJWST72D8JMBPRE0MBSC2V01,TRUE,FALSE
01JJWRCJTPGENXEZ845828V5G9,bet,01JJWQSZ3PH7J34ZEQJC6RD3WS,FALSE,FALSE
01JJWT2DHRS83S0KMAA9CC349X,2 poles,01JJWST72D8JMBPRE0MBSC2V01,TRUE,FALSE
01JJWRCJTPGENXEZ845828V5G9,i cant clcik it,01JJWQSZ3PH7J34ZEQJC6RD3WS,FALSE,FALSE
01JJWT2CZC947XFY9E1BATB5WH,2 poles start,01JJWST72D8JMBPRE0MBSC2V01,TRUE,FALSE
01JJWRCJS53A7VYK8V7GHZHWCW,2 shapes,01JJWQTXQM91R5N41GK9CWG50N,TRUE,FALSE
01JJWRGAH89M3MEAZ8KG2H1G3Y,2 triangle at the edge,01JJWR8KFVXWYDQ6YE1YR69PA7,TRUE,FALSE
01JJWT6NMTJW86P3PJDFESNT0W,2 triangles at the bottom,01JJWSWX3E2QYJW795A8F06CAH,TRUE,FALSE
01JJWT6NFMZD5T2J996F6RRSQV,2 triangles at the sides,01JJWSWX3E2QYJW795A8F06CAH,TRUE,FALSE
01JJWRCJPNG36XQBKK2X4SDNVW,3  again,01JJWQSZ3PH7J34ZEQJC6RD3WS,TRUE,FALSE
01JJWRCJPHKEMZTK4BKPAWAHJ8,3 again,01JJWQSZ3PH7J34ZEQJC6RD3WS,TRUE,FALSE
01JJWT7TPXM66AF0D6B9P6080R,3 in front,01JJWT109BAJ35J70YHSJGVX5V,TRUE,FALSE
01JJWRKCXR1MFS3TWG8VD2KPCS,3 left,01JJWQTAQZ7PRR9KCZDS80XQAT,TRUE,FALSE
01JJWRCJS9YD5A67MF303HXW02,3 one,01JJWQSZ3PH7J34ZEQJC6RD3WS,TRUE,FALSE
01JJWRKD6JDB5T8954EFP0D733,3 pointed triangles on the left side,01JJWR6XK1CVES85T7PJJTVFR6,TRUE,FALSE
01JJWR0YZS031ACJMEM67CCWW9,3 points at the top,01JJWQSKBWP80JVE0ZW28BSM19,TRUE,FALSE
01JJWR0YZ8KA5DS64TFSBH74ZK,3 points at the top of the shape,01JJWQSKBWP80JVE0ZW28BSM19,TRUE,FALSE
01JJWR0YZPPBQ2K4T3VQQ76XD3,3 points at top of shape. rectangle angled to lower left.,01JJWQSP07CN8VJT9PQX1RFC4D,TRUE,FALSE
01JJWR0YZCFWP91MBB17CW2443,3 points at top of shape. rectangle hole inside.,01JJWQSP07CN8VJT9PQX1RFC4D,TRUE,FALSE
