condition_label,dataset_id,full_cite,short_cite,group_size,prior_relationship,partner_constancy,role_constancy,population,confederates,modality,feedback,backchannel,language,condition_id
expt1_singlemessage,ji2025_adhoc,"Ji, A., Bergey, C. A., Eliav, R., Artzi, Y., & Hawkins, R. D. (2025). Ad hoc conventions generalize to new referents. arXiv preprint arXiv:2509.05566.",Ji et al. (2025),2,no,yes,no,adult,no,written,limited,none,English,1
expt2_singlemessage,ji2025_adhoc,"Ji, A., Bergey, C. A., Eliav, R., Artzi, Y., & Hawkins, R. D. (2025). Ad hoc conventions generalize to new referents. arXiv preprint arXiv:2509.05566.",Ji et al. (2025),2,no,yes,no,adult,no,written,limited,none,English,2
expt3,ji2025_adhoc,"Ji, A., Bergey, C. A., Eliav, R., Artzi, Y., & Hawkins, R. D. (2025). Ad hoc conventions generalize to new referents. arXiv preprint arXiv:2509.05566.",Ji et al. (2025),2,no,yes,no,adult,no,written,full,full,English,3
