text,player_id,role,message_number,message_irrelevant,time_stamp,trial_id
looks like a claw almost got two really long prongs like two really short prongs like next to it,2,describer,1,FALSE,NA,80
looks like a rhino,2,describer,1,FALSE,NA,81
kind of looks like a turtle,2,describer,1,FALSE,NA,82
looks like an atom kind of not like a cell it looks like an atom got like a sphere a cube in the middle,2,describer,1,FALSE,NA,83
kind of looks like a pair of scissors,2,describer,1,FALSE,NA,84
two zigzag lines right next to each other,2,describer,1,FALSE,NA,85
a zigzag line wit h an x above it,2,describer,1,FALSE,NA,86
an octopus looks like something you'd find in the water,2,describer,1,FALSE,NA,87
like some chinese or japanese writing or whatever you want to call it,2,describer,1,FALSE,NA,88
the circle with like that star in the middle ninja star,2,describer,1,FALSE,NA,89
looks like bamboo plant,2,describer,1,FALSE,NA,90
kind of looks like a knee brace,2,describer,1,FALSE,NA,91
"looks like a wig, like hair",2,describer,1,FALSE,NA,92
the one that looks like a cell,2,describer,1,FALSE,NA,93
a globe with like the longitudal,2,describer,1,FALSE,NA,94
looks like a tape recorder like a book,2,describer,1,FALSE,NA,95
kind of like a dandelion or soemthing,2,describer,1,FALSE,NA,96
musical note with the circle,2,describer,1,FALSE,NA,97
looks like a musical note kind of but not a musical note so there is another one like that with a triangle line going up,2,describer,1,FALSE,NA,98
"a circle with another circle on the inside four pipes coming out at 3, 9, 12 6",2,describer,1,FALSE,NA,99
the cirlce with a dot in the middle with the crown,2,describer,1,FALSE,NA,100
a semicircle with three squiggly lines inside of it,2,describer,1,FALSE,NA,101
looks like a pokeball,2,describer,1,FALSE,NA,102
an upside down triangle,2,describer,1,FALSE,NA,103
"looks like a rib cage almost, like a hat looking thing",2,describer,1,FALSE,NA,104
squiggly line thing,2,describer,1,FALSE,NA,105
"looks like a gutter pipe; like a pipe, curved",2,describer,1,FALSE,NA,106
looks like two sets of eyes; two circles up here two circles right here,2,describer,1,FALSE,NA,107
looks like a honeycomb,2,describer,1,FALSE,NA,108
the circle there is a line that comes into it at the top a line that comes in on the bottom if you think of a clock there is a dot where it would be 5 o'clock,2,describer,1,FALSE,NA,109
like a tropicana thing with the orange,2,describer,1,FALSE,NA,110
looks like a wheel,2,describer,1,FALSE,NA,111
like a porcupine; big pointy ball,2,describer,1,FALSE,NA,112
a picture that looks like 2 cursive e's,3,describer,1,FALSE,NA,113
"2 kind of like, it looks like an equal sign but curved",3,describer,1,FALSE,NA,114
"a lil black object that looks kind of like a robot with a sideways t running through the middle of it, its got like a half circle on the top a triangle below the t",3,describer,1,FALSE,NA,115
"looks like kind of like an earring, like laying sideways",3,describer,1,FALSE,NA,116
"like a sculpture but looks a little bit like a horse kind of, its got like a triangle in the back end of it",3,describer,1,FALSE,NA,117
a circle that looks like a paw print in the middle of it,3,describer,1,FALSE,NA,118
looks like a flying saucer with a bunch of bubbles on the top of it,3,describer,1,FALSE,NA,119
like some kind of like plant like leaf lttlel bit,3,describer,1,FALSE,NA,120
"looks its like a very rounded out v, looks kind of like a wolverine head, it is like blacked out",3,describer,1,FALSE,NA,121
"looks like, its like a spoon with a curved x in the middle of it",3,describer,1,FALSE,NA,122
