roundID,text,playerID,director_msg,chit_chat
01JH8Y205T3PZ4SH53TNWW7WFY,3,01JH8X6CJ08XEA4KEY9VRWSNSQ,TRUE,FALSE
01JH8Y20AQWVR4AEVG7NNBRMNZ,3,01JH8XWKG5TM0PHFN1M5PJJA5Z,TRUE,FALSE
01JH8Y2091CM0T0DE0J46BJ2QB,4,01JH8XWKG5TM0PHFN1M5PJJA5Z,TRUE,FALSE
01JH8Y20BZBZWCQ11BH0TQXKDH,4,01JH8XWKG5TM0PHFN1M5PJJA5Z,TRUE,FALSE
01JH8Y208TT8ZB9QTE5CE01PTC,what image?,01JH8XWKG5TM0PHFN1M5PJJA5Z,FALSE,FALSE
01JH8Y1ZW7JCW1XM3J7WBC9M5W,4,01JH8X6CJ08XEA4KEY9VRWSNSQ,TRUE,FALSE
01JH8Y208TT8ZB9QTE5CE01PTC,4,01JH8X6CJ08XEA4KEY9VRWSNSQ,TRUE,FALSE
01JH8Y20CJ76SBHJ433P174YKN,4,01JH8X6CJ08XEA4KEY9VRWSNSQ,TRUE,FALSE
01JH8Y1ZZ7Q9TSR9AVDG4HGE5X,4,01JH8X6CJ08XEA4KEY9VRWSNSQ,TRUE,FALSE
01JH8Y1ZWHKENBRNGSPVHVXQHE,4,01JH8XWKG5TM0PHFN1M5PJJA5Z,TRUE,FALSE
01JH8Y208GYVSD66E2CGNG98SH,4,01JH8XWKG5TM0PHFN1M5PJJA5Z,TRUE,FALSE
01JH8Y207J1XCTDAS2B6KSDTYT,4,01JH8XWKG5TM0PHFN1M5PJJA5Z,TRUE,FALSE
01JH8Y207J1XCTDAS2B6KSDTYT,4,01JH8XWKG5TM0PHFN1M5PJJA5Z,TRUE,FALSE
01JH8Y2009XPMW5ZVYMNTFYDX3,4,01JH8XWKG5TM0PHFN1M5PJJA5Z,TRUE,FALSE
01JH8Y205GZQ8PC31DCZFVS7WT,4,01JH8X6CJ08XEA4KEY9VRWSNSQ,TRUE,FALSE
01JH8Y204EFMBCA5J1CMW45G9E,4,01JH8XWKG5TM0PHFN1M5PJJA5Z,TRUE,FALSE
01JH8Y20BBQXDB0H4Z9P8B55E3,4,01JH8X6CJ08XEA4KEY9VRWSNSQ,TRUE,FALSE
01JH8XKK7FGXFG7NFJZPT3MTPS,"When I am the director, you guess. FYI",01JH8XGR72J2B6AGE79ABX39WH,FALSE,FALSE
01JH8Y202X1KXZ0162YYJRFVY8,4,01JH8XWKG5TM0PHFN1M5PJJA5Z,TRUE,FALSE
01JH8XKK7FGXFG7NFJZPT3MTPS,Try selecting an option,01JH8XGR72J2B6AGE79ABX39WH,FALSE,FALSE
01JH8Y201G4Z1ZKWR7AM040B9B,4,01JH8XWKG5TM0PHFN1M5PJJA5Z,TRUE,FALSE
01JH8Y1ZY3K8N5965ZW1NA6FPX,4,01JH8X6CJ08XEA4KEY9VRWSNSQ,TRUE,FALSE
01JH8Y20D2RY03TVQMSRHQ5ZP0,4,01JH8XWKG5TM0PHFN1M5PJJA5Z,TRUE,FALSE
01JH8XMKK5CNSMS7Z9XD0CA9MZ,Hello?,01JH8XDZH4364RCR5G4YMV2MCG,FALSE,FALSE
01JH8X0NXJR4N19CPCGA7G2AEP,"1 small triangle on the left, gap at the bottom on right and gap at the top",01JH8WTWRY8SDZA9SGV7BEMG24,TRUE,FALSE
01JH8YNEPGXEPC14K3H59CZ1JX,"2 legs, tail",01JH8XZ95K9GSSCBP9GQ2JCG32,TRUE,FALSE
01JH8X0NWJ7K5626MG8WDS2CSZ,2 on each side,01JH8WX3MB40W9NS2S38AE9V20,TRUE,FALSE
01JH8X0NWMGVSZ2GYZ09SSNRCA,2 on each side,01JH8WX3MB40W9NS2S38AE9V20,TRUE,FALSE
01JH8X0NZVSW7Z1NFX5XFAF4R6,"2 triange left, asymmetrical right",01JH8WTWRY8SDZA9SGV7BEMG24,TRUE,FALSE
01JH8X0NY35K9R5ECS3DEZZ5SH,"2 triangles left, 2 triangles right",01JH8WTWRY8SDZA9SGV7BEMG24,TRUE,FALSE
01JH8X0NXZ2ZX252NF67AG5Y08,"2 triangles left, zig zag right",01JH8WTWRY8SDZA9SGV7BEMG24,TRUE,FALSE
01JH8YAR12GZ05TQ1YJ3TCD72R,2 triangles to both sides,01JH8XGPKG9BNC8MYMXZ7NEQCD,TRUE,FALSE
01JH8X0NZFRBX4QSS1KY7GEHKF,3 triangles*,01JH8WX3MB40W9NS2S38AE9V20,TRUE,FALSE
01JH8YNEQ0ZECDM61M3J20FD9K,4 pointed shapes,01JH8XZ95K9GSSCBP9GQ2JCG32,TRUE,FALSE
01JH8X32XYR2YDRF90EHCXTNNN,4 points side by side,01JH8WTBWPGGMZMTXPEP2X4MH4,TRUE,FALSE
01JH8X0NZP1427CG5AD6JP2KV0,"4 triangles on the right, large triangle on the left",01JH8WTWRY8SDZA9SGV7BEMG24,TRUE,FALSE
01JH8WYP8E8E0H59JV5V3TH98R,A baby buggy on wheels,01JH8WPRNS4JRD0P221J2TRZFA,TRUE,FALSE
01JH8YNEH7WB38SA54WBS3PJKW,A bed on a three tier platform,01JH8XZ95K9GSSCBP9GQ2JCG32,TRUE,FALSE
01JH8YNEN52MP7912E17H99037,a box on top of a triangle op top of three smaller shapes,01JH8XZ95K9GSSCBP9GQ2JCG32,TRUE,FALSE
01JH8YNEWKRBHECHYA5834MBXA,a castle.. three pointed shapes on roof,01JH8XZ95K9GSSCBP9GQ2JCG32,TRUE,FALSE
01JH8XDMM7CQKPA7CRZ8011442,a diamond below that doesn't have a m on top,01JH8WYH4EQJSWTJTB1WR0FRVK,TRUE,FALSE
01JH8YNEK6MB5TWKED5DTTR7HM,a hand pointing west and a hat on top of it,01JH8XZ95K9GSSCBP9GQ2JCG32,TRUE,FALSE
01JH8YNF4SQWHZTX6GD79XGPBJ,a piece cut out,01JH8XZ95K9GSSCBP9GQ2JCG32,TRUE,FALSE
01JH8YAQVP09RFZ0KKZ5FPA66S,Again the top of the image is like a heart and the bottom halp is like a hand holding it,01JH8Y4WC450C6W4NHKTEN46CV,TRUE,FALSE
01JH8XKK958TD2WXB3N3WHQC2D,angle facing upward,01JH8WQ3PCPJZ6JZ536VHGT2H3,TRUE,FALSE
01JH8YNES247ZK491Q6KT7JG0X,Angled Christmas tree,01JH8YFF2W3SWFC5SPNNWN74MK,TRUE,FALSE
01JH8YNEJD61HJPB98R46RH6VV,angled christmas tree,01JH8XZ95K9GSSCBP9GQ2JCG32,TRUE,FALSE
01JH8YNEG60W478QCAYJGF1158,another weird christmas tree,01JH8XZ95K9GSSCBP9GQ2JCG32,TRUE,FALSE
