condition_label,dataset_id,full_cite,short_cite,group_size,prior_relationship,partner_constancy,role_constancy,population,confederates,modality,feedback,backchannel,language,condition_id
dahan2023_color_boxes,dahan2023_collaboration,"Dahan, D. (2023). Collaboration under uncertainty in unscripted conversations: The role of hedges. Journal of Experimental Psychology: Learning, Memory, and Cognition, 49(2), 320.",Dahan (2023),2,yes,yes,no,adult,no,oral-in-person,none,full,English,1
dahan2025_color_boxes,dahan2023_collaboration,"Dahan, D. (2023). Collaboration under uncertainty in unscripted conversations: The role of hedges. Journal of Experimental Psychology: Learning, Memory, and Cognition, 49(2), 320.",Dahan (2023),2,yes,yes,no,adult,no,oral-in-person,none,full,English,2
