id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01JH948NTTVBP5R235GD169N2G,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-within"",""factors"":{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-10T22:09:58.106874811Z,,,true,2025-01-10T22:09:58.116548432Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-10T22:09:58.106874811Z,terminated,2025-01-10T22:26:57.108306104Z
01JH948RP55QQWFTTDRTXFFA02,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-within"",""factors"":{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-10T22:10:01.029990773Z,all games finished,2025-01-10T23:06:51.024267608Z,true,2025-01-10T22:10:01.037815345Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-10T22:10:01.029990773Z,ended,2025-01-10T23:06:51.024267608Z
01JH96YQXVPK68QN3TCPZ4EYWN,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-within"",""factors"":{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-10T22:56:58.299506209Z,,,true,2025-01-10T22:56:58.368340776Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-10T22:56:58.299506209Z,terminated,2025-01-10T23:33:37.056374108Z
01JH948J26GWGZAN81E342HDFF,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-within"",""factors"":{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-10T22:09:54.246390264Z,all games finished,2025-01-10T22:45:49.345020961Z,true,2025-01-10T22:09:54.263032608Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-10T22:09:54.246390264Z,ended,2025-01-10T22:45:49.345020961Z
01JH96B8JPGZ4X7BGJKEXQN0VC,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-within"",""factors"":{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-10T22:46:19.990170437Z,all games finished,2025-01-10T23:39:03.528424971Z,true,2025-01-10T22:46:20.028824161Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-10T22:46:19.990170437Z,ended,2025-01-10T23:39:03.528424971Z
01JH977BFB5DD6N8E5WW5VEQME,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-within"",""factors"":{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-10T23:01:40.459914212Z,,,true,2025-01-10T23:01:40.532438952Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-10T23:01:40.459914212Z,terminated,2025-01-10T23:33:34.278669095Z
01JH948QZVMWV85ECGFD8GZ2AY,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-within"",""factors"":{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-10T22:10:00.315426321Z,all games finished,2025-01-10T22:49:47.076483113Z,true,2025-01-10T22:10:00.323853177Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-10T22:10:00.315426321Z,ended,2025-01-10T22:49:47.076483113Z
01JH948SRXKV194H1VJDSV4FT8,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-within"",""factors"":{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-10T22:10:02.141462608Z,all games finished,2025-01-10T22:56:50.383029092Z,true,2025-01-10T22:10:02.151078379Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-10T22:10:02.141462608Z,ended,2025-01-10T22:56:50.383029092Z
01JH948TS8BC83X9H3ZBM18S0R,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-within"",""factors"":{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-10T22:10:03.176120718Z,all games finished,2025-01-10T22:46:11.140718249Z,true,2025-01-10T22:10:03.184351076Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-10T22:10:03.176120718Z,ended,2025-01-10T22:46:11.140718249Z
01JH957YR4XPF712ZW4Y9YBKQ6,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-within"",""factors"":{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-10T22:27:03.04425469Z,all games finished,2025-01-10T23:22:05.021364254Z,true,2025-01-10T22:27:03.067544742Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-10T22:27:03.04425469Z,ended,2025-01-10T23:22:05.021364254Z
