id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01JH95PMPHC52T5ATRQJ5DTZRG,01JH948QZVMWV85ECGFD8GZ2AY,2025-01-10T22:35:04.273093543Z,01JH948R03G2H7EC827CPTFQ6Q,2025-01-10T22:35:04.273093543Z,01JH94KNCV94QGECTV94FT6BGT,2025-01-10T22:35:04.273093543Z,01JH94V535NW6D2DH1AGXN7870,2025-01-10T22:35:04.273093543Z,01JH94V5GAC8SCSPPRXVTD7MSC,2025-01-10T22:35:04.273093543Z,,
01JH975HETA86HHYNHFJHHKB77,01JH957YR4XPF712ZW4Y9YBKQ6,2025-01-10T23:00:41.050253582Z,01JH957YRZT49JYWGK6ZVT9RSH,2025-01-10T23:00:41.050253582Z,01JH964JJGYGDFS5RQJ16YJ0VW,2025-01-10T23:00:41.050253582Z,01JH96C431FFXH7W37XK0YXHP5,2025-01-10T23:00:41.050253582Z,01JH96C5EVFQEHQRWA87459DSE,2025-01-10T23:00:41.050253582Z,,
01JH957JJMW210S1C2KQTYB0J3,01JH948QF555RZDJAY7VWT5SNP,2025-01-10T22:26:50.580719648Z,01JH948QFE9AZ834M8MQ1VNDA4,2025-01-10T22:26:50.580719648Z,01JH94P8FEF07K0VAEYX2WY468,2025-01-10T22:26:50.580719648Z,01JH94SRNH8YF9WJNJRSHGR7VM,2025-01-10T22:26:50.580719648Z,01JH94SRVCXHK3ACRS3HZYR5K8,2025-01-10T22:26:50.580719648Z,true,2025-01-10T22:27:34.507428858Z
01JH95SZKT26VVRMNFKCDF76WP,01JH948QF555RZDJAY7VWT5SNP,2025-01-10T22:36:53.754694886Z,01JH948QFE9AZ834M8MQ1VNDA4,2025-01-10T22:36:53.754694886Z,01JH94M8757S2F9VFF31KZMFT3,2025-01-10T22:36:53.754694886Z,01JH94SRNFXS7FW6Z213R6JSXQ,2025-01-10T22:36:53.754694886Z,01JH94SS40JST1XEJVTGM3VPRT,2025-01-10T22:36:53.754694886Z,,
01JH968415C3SXYHMRFRJNK18M,01JH948QF555RZDJAY7VWT5SNP,2025-01-10T22:44:37.029557029Z,01JH948QFE9AZ834M8MQ1VNDA4,2025-01-10T22:44:37.029557029Z,01JH94M8757S2F9VFF31KZMFT3,2025-01-10T22:44:37.029557029Z,01JH94SRM9CVKDJ34738WSV176,2025-01-10T22:44:37.029557029Z,01JH94SSEP6WXJDSMRF43H53SC,2025-01-10T22:44:37.029557029Z,,
01JH968841K4QDNSMQX07CZYQ0,01JH948QZVMWV85ECGFD8GZ2AY,2025-01-10T22:44:41.217282047Z,01JH948R03G2H7EC827CPTFQ6Q,2025-01-10T22:44:41.217282047Z,01JH94KNCV94QGECTV94FT6BGT,2025-01-10T22:44:41.217282047Z,01JH94V54NCMGVH41WT24V16PP,2025-01-10T22:44:41.217282047Z,01JH94V5W4K8GAAVFCSWAVYPKE,2025-01-10T22:44:41.217282047Z,true,2025-01-10T22:44:58.905653228Z
01JH96TK0TC9HZ7MVWGS4QD3RK,01JH957YR4XPF712ZW4Y9YBKQ6,2025-01-10T22:54:42.202255292Z,01JH957YRZT49JYWGK6ZVT9RSH,2025-01-10T22:54:42.202255292Z,01JH95YWSW02RX733R1CWBPCPS,2025-01-10T22:54:42.202255292Z,01JH96C40VTFMYK8N9QJHFD0SJ,2025-01-10T22:54:42.202255292Z,01JH96C50NNQTR3P85NFJ6A0YH,2025-01-10T22:54:42.202255292Z,true,2025-01-10T22:55:13.779191734Z
01JH96VXFP8XJ23AZE6Y58QM6B,01JH948SRXKV194H1VJDSV4FT8,2025-01-10T22:55:25.686860138Z,01JH948SS6MZP7TCD7NSMYPJW3,2025-01-10T22:55:25.686860138Z,01JH94XSE83S7NGJ8GVYH44P3D,2025-01-10T22:55:25.686860138Z,01JH954QA73C8HST2X2GGTEVQV,2025-01-10T22:55:25.686860138Z,01JH954RMWJSTXPJF5YKSB4M77,2025-01-10T22:55:25.686860138Z,true,2025-01-10T22:55:46.5655493Z
01JH971JA0H5YM6GRBY3TSM8D3,01JH96CAS4K7RF2S0Y508WDPBY,2025-01-10T22:58:30.848787314Z,01JH96CMS9P61B98B26M87PECF,2025-01-10T22:58:30.848787314Z,01JH96AA6X8DK3KTC7KSP3YV91,2025-01-10T22:58:30.848787314Z,01JH96QXD98CSZ3JDCHKMF5W4T,2025-01-10T22:58:30.848787314Z,01JH96QYMN6F8X3RQXRWTEBHBG,2025-01-10T22:58:30.848787314Z,,
01JH95TVPYH2GP4M8WGC0MX1WM,01JH948J26GWGZAN81E342HDFF,2025-01-10T22:37:22.526381561Z,01JH948J2PSSRQGFZK293TEAX3,2025-01-10T22:37:22.526381561Z,01JH955H9ANJWEF777AFDPNBB2,2025-01-10T22:37:22.526381561Z,01JH95QDFYTC15H5RTPBWPB23G,2025-01-10T22:37:22.526381561Z,01JH95QDZKVE55H1NXCC5K35VJ,2025-01-10T22:37:22.526381561Z,,
