room_num,image_options,target_image,stage_num,trial_num,round_num,exclude,exclusion_reason,order_match,condition_id,describer,matchers,trial_id,game_id
1,/tangrams/186_427.png;/tangrams/284_264.png;/tangrams/165_212.png;/tangrams/158_99.png,/tangrams/158_99.png,1,6,1,FALSE,NA,match,1,1,2,36,1
1,/tangrams/186_427.png;/tangrams/158_212.png;/tangrams/284_264.png;/tangrams/165_99.png,/tangrams/284_264.png,1,32,2,FALSE,NA,match,1,2,1,37,1
1,/tangrams/284_212.png;/tangrams/165_427.png;/tangrams/158_99.png;/tangrams/186_264.png,/tangrams/284_212.png,1,24,2,FALSE,NA,match,1,2,1,38,1
1,/tangrams/284_427.png;/tangrams/158_264.png;/tangrams/186_99.png;/tangrams/165_212.png,/tangrams/165_212.png,1,29,2,FALSE,NA,match,1,1,2,39,1
1,/tangrams/165_212.png;/tangrams/186_427.png;/tangrams/158_264.png;/tangrams/284_99.png,/tangrams/158_264.png,1,45,3,FALSE,NA,match,1,2,1,40,1
1,/tangrams/284_99.png;/tangrams/186_212.png;/tangrams/165_427.png;/tangrams/158_264.png,/tangrams/165_427.png,1,63,4,FALSE,NA,match,1,1,2,41,1
1,/tangrams/186_427.png;/tangrams/158_212.png;/tangrams/165_99.png;/tangrams/284_264.png,/tangrams/165_99.png,1,38,3,FALSE,NA,match,1,2,1,42,1
1,/tangrams/284_427.png;/tangrams/186_212.png;/tangrams/165_264.png;/tangrams/158_99.png,/tangrams/158_99.png,1,34,3,FALSE,NA,match,1,2,1,43,1
1,/tangrams/165_99.png;/tangrams/158_427.png;/tangrams/186_212.png;/tangrams/284_264.png,/tangrams/158_427.png,1,25,2,FALSE,NA,match,1,1,2,44,1
1,/tangrams/284_212.png;/tangrams/186_264.png;/tangrams/165_99.png;/tangrams/158_427.png,/tangrams/158_427.png,1,61,4,FALSE,NA,match,1,2,1,45,1
1,/tangrams/284_99.png;/tangrams/186_212.png;/tangrams/158_427.png;/tangrams/165_264.png,/tangrams/165_264.png,1,30,2,FALSE,NA,match,1,1,2,46,1
