condition_label,dataset_id,full_cite,short_cite,group_size,prior_relationship,partner_constancy,role_constancy,population,confederates,modality,feedback,backchannel,language,condition_id
Across Trial Competitor,mankewitz2025_function,"Mankewitz, J., & Hawkins, R. (2025). Function shapes form: Compositionality emerges from communicative needs, not environmental structure alone. In Proceedings of the Annual Meeting of the Cognitive Science Society (Vol. 47).",Mankewitz & Hawkins (2025),2,no,yes,no,adult,no,written,full,full,English,1
Within Trial Competitor,mankewitz2025_function,"Mankewitz, J., & Hawkins, R. (2025). Function shapes form: Compositionality emerges from communicative needs, not environmental structure alone. In Proceedings of the Annual Meeting of the Cognitive Science Society (Vol. 47).",Mankewitz & Hawkins (2025),2,no,yes,no,adult,no,written,full,full,English,2
No Competitor,mankewitz2025_function,"Mankewitz, J., & Hawkins, R. (2025). Function shapes form: Compositionality emerges from communicative needs, not environmental structure alone. In Proceedings of the Annual Meeting of the Cognitive Science Society (Vol. 47).",Mankewitz & Hawkins (2025),2,no,yes,no,adult,no,written,full,full,English,3
