roundID,correct,gameID,index,numTrials,repNum,response,target,targetNum,trialNum,tangramURLs
01JHKNHKKQ4F8B4RMKP8FZZP7J,TRUE,01JHKN9RJ5713GTZXCBYV128DX,15,65,0,/tangrams/80_373.png,/tangrams/80_373.png,16,15,"[""/tangrams/459_30.png"",""/tangrams/80_373.png"",""/tangrams/65_277.png"",""/tangrams/375_400.png""]"
01JHKNKYV7SVK9GKC19HTXKREP,TRUE,01JHKN9Y7864AY6TMQ13VH5WG8,37,65,2,/tangrams/171_317.png,/tangrams/171_317.png,6,37,"[""/tangrams/234_276.png"",""/tangrams/19_132.png"",""/tangrams/171_317.png"",""/tangrams/242_28.png""]"
01JHKNMSFQ1CPZ5RD5N4C3KBBP,TRUE,01JHKN9YDF3KJ5DJX9C0Y6J5ST,19,65,1,/tangrams/181_84.png,/tangrams/181_84.png,4,19,"[""/tangrams/322_310.png"",""/tangrams/181_84.png"",""/tangrams/90_359.png"",""/tangrams/101_332.png""]"
01JHKPZT37P71W2H7SS0ZPGY2F,NA,01JHKNA04HBKQHZZ8DBQ8ZTBC6,27,65,1,NA,/tangrams/461_136.png,12,27,"[""/tangrams/396_43.png"",""/tangrams/10_83.png"",""/tangrams/456_216.png"",""/tangrams/461_136.png""]"
01JHKPZT7EN518BFHQBAKE11CN,NA,01JHKNA04HBKQHZZ8DBQ8ZTBC6,41,65,2,NA,/tangrams/456_216.png,10,41,"[""/tangrams/456_216.png"",""/tangrams/10_136.png"",""/tangrams/396_43.png"",""/tangrams/461_83.png""]"
01JHKRNA76H5N2RXWYY1CHVFT1,FALSE,01JHKNA085CN6DZZFB3E4Y1B2Q,3,65,0,NA,/tangrams/180_26.png,4,3,"[""/tangrams/126_70.png"",""/tangrams/312_364.png"",""/tangrams/180_26.png"",""/tangrams/246_303.png""]"
01JHKNHKMAP26365QY4YV2693N,TRUE,01JHKN9RJ5713GTZXCBYV128DX,5,65,0,/tangrams/80_277.png,/tangrams/80_277.png,6,5,"[""/tangrams/459_373.png"",""/tangrams/375_400.png"",""/tangrams/65_30.png"",""/tangrams/80_277.png""]"
01JHKNK7MCSC12D10AMFDQHWH4,TRUE,01JHKN9SJ2W5864JM0EVN2RN2V,63,65,3,/tangrams/400_90.png,/tangrams/400_90.png,16,63,"[""/tangrams/400_90.png"",""/tangrams/469_30.png"",""/tangrams/396_175.png"",""/tangrams/463_302.png""]"
01JHKNK7Q2CVQNYDHJ6F3A841F,TRUE,01JHKN9SJ2W5864JM0EVN2RN2V,3,65,0,/tangrams/400_90.png,/tangrams/400_90.png,4,3,"[""/tangrams/469_30.png"",""/tangrams/463_175.png"",""/tangrams/396_302.png"",""/tangrams/400_90.png""]"
01JHKNRNM7Z3YJ6M47T7WQMJ12,TRUE,01JHKN9YN8C3QJZKW7DJ0HDR1F,43,65,2,/tangrams/351_462.png,/tangrams/351_462.png,12,43,"[""/tangrams/38_6.png"",""/tangrams/351_462.png"",""/tangrams/371_122.png"",""/tangrams/73_57.png""]"
01JHKP5N1RDQ9QVWN3V8G2BZF9,TRUE,01JHKN9ZJ60PR87DYG7JFNBHGG,5,65,0,/tangrams/12_142.png,/tangrams/12_142.png,6,5,"[""/tangrams/404_312.png"",""/tangrams/52_396.png"",""/tangrams/457_383.png"",""/tangrams/12_142.png""]"
01JHKNHKMEQ8X2TFD3SZGZA3WW,TRUE,01JHKN9RJ5713GTZXCBYV128DX,4,65,0,/tangrams/459_30.png,/tangrams/459_30.png,5,4,"[""/tangrams/80_277.png"",""/tangrams/375_400.png"",""/tangrams/65_373.png"",""/tangrams/459_30.png""]"
01JHKNK7M1ZVFPG1A9V5PQ0E4T,TRUE,01JHKN9SJ2W5864JM0EVN2RN2V,4,65,0,/tangrams/396_302.png,/tangrams/396_302.png,5,4,"[""/tangrams/396_302.png"",""/tangrams/400_175.png"",""/tangrams/463_90.png"",""/tangrams/469_30.png""]"
01JHKNRYG6YMM3MVXG8JSTZYTK,TRUE,01JHKN9YWKX2HRCZ9MFXX8RT2D,1,65,0,/tangrams/77_225.png,/tangrams/77_225.png,2,1,"[""/tangrams/204_391.png"",""/tangrams/304_7.png"",""/tangrams/52_373.png"",""/tangrams/77_225.png""]"
01JHKP5N28BZZ6H3M9DXQXAGNX,TRUE,01JHKN9ZJ60PR87DYG7JFNBHGG,4,65,0,/tangrams/52_396.png,/tangrams/52_396.png,5,4,"[""/tangrams/52_396.png"",""/tangrams/404_142.png"",""/tangrams/457_383.png"",""/tangrams/12_312.png""]"
01JHKRNA5PE1C4QB84ZXQJPJA3,NA,01JHKNA085CN6DZZFB3E4Y1B2Q,5,65,0,NA,/tangrams/246_303.png,6,5,"[""/tangrams/180_364.png"",""/tangrams/246_303.png"",""/tangrams/126_70.png"",""/tangrams/312_26.png""]"
01JHKNGDMCSZVP6Q7ETH0D4EM9,TRUE,01JHKN9QCJS7PK6P582R98YJP2,24,65,1,/tangrams/423_42.png,/tangrams/423_42.png,9,24,"[""/tangrams/173_446.png"",""/tangrams/423_42.png"",""/tangrams/114_24.png"",""/tangrams/396_8.png""]"
01JHKNHKMXXV7NRADPF1RS3QKE,TRUE,01JHKN9RJ5713GTZXCBYV128DX,34,65,2,/tangrams/459_277.png,/tangrams/459_277.png,3,34,"[""/tangrams/80_400.png"",""/tangrams/375_373.png"",""/tangrams/459_277.png"",""/tangrams/65_30.png""]"
01JHKNVRW79HQWTXHJCEX89YEJ,TRUE,01JHKN9Z3KDENH41ND7761RTTE,40,65,2,/tangrams/209_36.png,/tangrams/209_36.png,9,40,"[""/tangrams/354_320.png"",""/tangrams/272_22.png"",""/tangrams/428_19.png"",""/tangrams/209_36.png""]"
01JHKP9QZJAG1YC246JBCRJR2D,TRUE,01JHKN9ZRQXD8M2QH4QE8AYW46,36,65,2,/tangrams/63_124.png,/tangrams/63_124.png,5,36,"[""/tangrams/181_21.png"",""/tangrams/246_80.png"",""/tangrams/431_352.png"",""/tangrams/63_124.png""]"
01JHKNGDMVM09RTR9AFA5TXHYT,TRUE,01JHKN9QCJS7PK6P582R98YJP2,51,65,3,/tangrams/423_8.png,/tangrams/423_8.png,4,51,"[""/tangrams/396_42.png"",""/tangrams/173_24.png"",""/tangrams/114_446.png"",""/tangrams/423_8.png""]"
01JHKNHKN8P1N9EYHZY4AQDMPK,TRUE,01JHKN9RJ5713GTZXCBYV128DX,46,65,2,/tangrams/80_277.png,/tangrams/80_277.png,15,46,"[""/tangrams/375_373.png"",""/tangrams/459_30.png"",""/tangrams/65_400.png"",""/tangrams/80_277.png""]"
01JHKNJ40M0RAY2YZRYBQPY56C,TRUE,01JHKN9S19518NS7AEVR073WB1,29,65,1,/tangrams/379_216.png,/tangrams/379_216.png,14,29,"[""/tangrams/448_34.png"",""/tangrams/39_156.png"",""/tangrams/379_216.png"",""/tangrams/116_260.png""]"
01JHKNKYR7K2A82NGQESBAV6SK,TRUE,01JHKN9Y7864AY6TMQ13VH5WG8,24,65,1,/tangrams/19_28.png,/tangrams/19_28.png,9,24,"[""/tangrams/171_317.png"",""/tangrams/242_276.png"",""/tangrams/19_28.png"",""/tangrams/234_132.png""]"
01JHKNMSJC54GW51PCG9WAWGK7,TRUE,01JHKN9YDF3KJ5DJX9C0Y6J5ST,39,65,2,/tangrams/181_310.png,/tangrams/181_310.png,8,39,"[""/tangrams/90_332.png"",""/tangrams/322_359.png"",""/tangrams/101_84.png"",""/tangrams/181_310.png""]"
01JHKNRYH2NW6PES2Q4GAQ93WH,TRUE,01JHKN9YWKX2HRCZ9MFXX8RT2D,2,65,0,/tangrams/304_373.png,/tangrams/304_373.png,3,2,"[""/tangrams/304_373.png"",""/tangrams/77_7.png"",""/tangrams/204_225.png"",""/tangrams/52_391.png""]"
01JHKNVRP92HBP92HH1G7JA7G6,TRUE,01JHKN9Z3KDENH41ND7761RTTE,14,65,0,/tangrams/209_22.png,/tangrams/209_22.png,15,14,"[""/tangrams/272_320.png"",""/tangrams/354_19.png"",""/tangrams/209_22.png"",""/tangrams/428_36.png""]"
01JHKNJ3ZPFAMCSNRC8014QNV3,TRUE,01JHKN9S19518NS7AEVR073WB1,6,65,0,/tangrams/448_216.png,/tangrams/448_216.png,7,6,"[""/tangrams/116_34.png"",""/tangrams/448_216.png"",""/tangrams/39_260.png"",""/tangrams/379_156.png""]"
01JHKNKQRFCWYPMXT2CD1TFTWM,TRUE,01JHKN9VCY86V93CN49CA5BBCD,41,65,2,/tangrams/138_304.png,/tangrams/138_304.png,10,41,"[""/tangrams/187_175.png"",""/tangrams/63_350.png"",""/tangrams/21_24.png"",""/tangrams/138_304.png""]"
