gameID,actualPlayerCount,batchID,contextSize,contextStructure,status,targets,rotation
01JH9J1DM169CBQKJ3S9B60P0M,2,01JH9J1DKV6RS6MCRNJ3SXCYT3,4,comp-between,ended,"[[79,140],[79,382],[79,122],[79,333],[109,140],[109,382],[109,122],[109,333],[128,140],[128,382],[128,122],[128,333],[194,140],[194,382],[194,122],[194,333]]",90
01JH9JYX0AMW2H9GPG4HWQW4G9,2,01JH9JYWZ0E9612YN74NA9CM1C,4,comp-between,ended,"[[95,69],[95,385],[95,399],[95,50],[8,69],[8,385],[8,399],[8,50],[55,69],[55,385],[55,399],[55,50],[396,69],[396,385],[396,399],[396,50]]",180
01JH9J15VBK2T020RPNZQ6RMX2,2,01JH9J15V0QM4TAHRYYWKD4YY5,4,comp-between,ended,"[[361,248],[361,391],[361,296],[361,27],[379,248],[379,391],[379,296],[379,27],[57,248],[57,391],[57,296],[57,27],[226,248],[226,391],[226,296],[226,27]]",90
01JH9J1C5MJC9CR239TY4CRQEZ,2,01JH9J1C5DVX9QY2RVE5SXBEQ0,4,comp-between,ended,"[[390,355],[390,272],[390,435],[390,347],[279,355],[279,272],[279,435],[279,347],[49,355],[49,272],[49,435],[49,347],[382,355],[382,272],[382,435],[382,347]]",90
01JH9J1D8G8CD894ARP0Z6FMTN,2,01JH9J1D88EMH9KT30JWW5MDAE,4,comp-between,ended,"[[269,421],[269,458],[269,121],[269,375],[62,421],[62,458],[62,121],[62,375],[370,421],[370,458],[370,121],[370,375],[42,421],[42,458],[42,121],[42,375]]",180
01JH9JSBP2E3ABG7WX9VDB70EK,2,01JH9JSBN97MH23YYTFANGWEDH,4,comp-between,ended,"[[147,258],[147,34],[147,409],[147,119],[350,258],[350,34],[350,409],[350,119],[234,258],[234,34],[234,409],[234,119],[222,258],[222,34],[222,409],[222,119]]",90
01JH9JSD47AQRCJM0B903CE3C7,2,01JH9JSD3J449A1ZY9D3KXM837,4,comp-between,ended,"[[280,128],[280,421],[280,220],[280,27],[387,128],[387,421],[387,220],[387,27],[441,128],[441,421],[441,220],[441,27],[235,128],[235,421],[235,220],[235,27]]",90
01JH9K8Y3WAYEKZBWT353JC8YF,2,01JH9K8Y1XQAPNKVPGS288XW7T,4,comp-between,ended,"[[462,157],[462,139],[462,106],[462,7],[132,157],[132,139],[132,106],[132,7],[343,157],[343,139],[343,106],[343,7],[215,157],[215,139],[215,106],[215,7]]",270
01JH9J19NY4W9WY55NWGAE6SW1,2,01JH9J19NPMRG1CXT3ZTNZAXR5,4,comp-between,ended,"[[334,220],[334,96],[334,123],[334,265],[7,220],[7,96],[7,123],[7,265],[321,220],[321,96],[321,123],[321,265],[373,220],[373,96],[373,123],[373,265]]",270
01JH9J1CYPYET02EK48JTS1TAG,2,01JH9J1CYE6CMF3JWJP2DGAMHG,4,comp-between,ended,"[[120,286],[120,400],[120,114],[120,396],[131,286],[131,400],[131,114],[131,396],[226,286],[226,400],[226,114],[226,396],[460,286],[460,400],[460,114],[460,396]]",90
01JH9KP6QVYP59P8X0V6Y4R4HM,2,01JH9KNTC5PM1HFQ4295BXZ8GR,4,comp-between,ended,"[[394,439],[394,453],[394,442],[394,446],[134,439],[134,453],[134,442],[134,446],[295,439],[295,453],[295,442],[295,446],[125,439],[125,453],[125,442],[125,446]]",0
01JH9KVB4YEMXNGE5FH1ACRW03,NA,01JH9KTJX6A2AHB5Z6V370YKGE,NA,NA,NA,NA,NA
01JH9J184MWH20CHHGNP1CTN6M,2,01JH9J184C7QVGB162JSQ19RMX,4,comp-between,ended,"[[222,53],[222,304],[222,62],[222,215],[98,53],[98,304],[98,62],[98,215],[9,53],[9,304],[9,62],[9,215],[39,53],[39,304],[39,62],[39,215]]",270
01JH9JXENNAA9FQ6XWTZ6P5GNZ,2,01JH9JXEMT6BQGCQJYTQZ79SDP,4,comp-between,ended,"[[336,402],[336,128],[336,252],[336,311],[180,402],[180,128],[180,252],[180,311],[146,402],[146,128],[146,252],[146,311],[144,402],[144,128],[144,252],[144,311]]",180
01JH9J1B9D57FP0N7Q8EGCWM69,2,01JH9J1B95RJ4KAGR9REMYEXKX,4,comp-between,ended,"[[189,465],[189,405],[189,251],[189,469],[298,465],[298,405],[298,251],[298,469],[320,465],[320,405],[320,251],[320,469],[287,465],[287,405],[287,251],[287,469]]",0
01JH9J1BSHWS5KSCT8MGHHPD4F,2,01JH9J1BS9T5EM3SA6C1PDZWK0,4,comp-between,ended,"[[341,453],[341,154],[341,388],[341,24],[375,453],[375,154],[375,388],[375,24],[298,453],[298,154],[298,388],[298,24],[293,453],[293,154],[293,388],[293,24]]",90
01JH9J1DX6BQ0831A88CQXB1Z2,2,01JH9J1DWZX1295N75PGTDS6BZ,4,comp-between,ended,"[[391,368],[391,423],[391,248],[391,298],[262,368],[262,423],[262,248],[262,298],[447,368],[447,423],[447,248],[447,298],[184,368],[184,423],[184,248],[184,298]]",0
01JH9JSCH28AD3W44YCYQP0JV1,2,01JH9JSCGDWTPYDZMRRFA00DW9,4,comp-between,ended,"[[323,22],[323,69],[323,404],[323,5],[207,22],[207,69],[207,404],[207,5],[237,22],[237,69],[237,404],[237,5],[86,22],[86,69],[86,404],[86,5]]",180
01JH9KGM6BCNY30K21W9CEZBJW,2,01JH9KG7F6VY15PYNBWWG4B7TP,4,comp-between,ended,"[[396,442],[396,432],[396,376],[396,227],[253,442],[253,432],[253,376],[253,227],[373,442],[373,432],[373,376],[373,227],[12,442],[12,432],[12,376],[12,227]]",0
01JH9J0RYNKGJZR66QP94CY6SD,NA,01JH9J0RY4AC0014CA84APG2K6,NA,NA,terminated,NA,NA
01JH9J0RYNKGJZR66QPK160QVS,NA,01JH9J0RY4AC0014CA84APG2K6,NA,NA,terminated,NA,NA
