prolificID,bonus
664360cecf23a9901bc2f990,1.71
6765e4378ca57f3d9246fe5e,1.92
5c2d187569ceff00011417de,1.86
596f003434773e0001fc0d28,1.86
6779b8a103ef72513da57736,1.92
65e41033192761ece670b5cd,1.92
663141e437ca8b977363cc60,1.62
671a9d06fa131fd391b9f22d,1.77
6112bab70c61f8247ee7e228,1.92
5f4f247c9ecd22177f6c21a0,1.77
666b2edee44d3214c03428c0,1.92
66a50be000d36ef1758c6fb7,1.53
5dedebd38b2932497a59e663,1.74
6508f641b716ad56a1f5e508,1.77
60fdf18884991b2263f75eec,1.86
61082cc9e9d48cea52cc047e,1.86
6529446b22e013a7d4464d2a,1.53
5ee40b570bc82d0f72dc6556,1.92
5ef27e4cc7b7101efe58288c,1.92
66abae40091399d1c2222db8,1.8
5d02e8a7c087120001942ae7,1.68
652c6b8265aebce5986591b2,1.68
65049282e965c3ef170ac6c3,1.5
66d4bd297f4f8e63606d182d,1.86
673b604f831846c9a2e2d0e6,1.77
58dde4b495b4740001733749,1.8
6102db009aa8f863fe632687,1.92
5781c15381f331000139a89e,1.86
6679888c3cd1cfcf42c687f5,1.62
583c7c44164cd30001c345d6,1.86
5e8b765e88065404c4d50fe2,1.5
67808d57e14f45bd0761a355,1.35
672c33aafed3be2f2a6ccfa0,1.86
677c451945ce3900ac8d0aae,1.71
66ef5c42c701c1eaa383ca87,1.74
5be9b18df5c1060001085048,1.35
