gameID,actualPlayerCount,batchID,contextSize,contextStructure,status,targets,rotation
01JHJWWKJ96AM8GJZE5NZF3AVN,2,01JHJWWKHZQ70AVMH8Q09XJNNV,4,comp-within,ended,"[[348,430],[348,38],[348,245],[348,339],[59,430],[59,38],[59,245],[59,339],[74,430],[74,38],[74,245],[74,339],[305,430],[305,38],[305,245],[305,339]]",270
01JHJWWQPFGRRY7R9DAV4AC4V7,2,01JHJWWQP8R312VQSGKRDA7YQ4,4,comp-within,ended,"[[331,324],[331,3],[331,182],[331,190],[330,324],[330,3],[330,182],[330,190],[8,324],[8,3],[8,182],[8,190],[205,324],[205,3],[205,182],[205,190]]",180
01JHJWX8V01Z771E6W1GRW0JQZ,2,01JHJWX8TSS7VK2399DGCEWAPQ,4,comp-within,ended,"[[18,156],[18,174],[18,132],[18,84],[224,156],[224,174],[224,132],[224,84],[52,156],[52,174],[52,132],[52,84],[62,156],[62,174],[62,132],[62,84]]",90
01JHK10EDAXBJ5HV65JZ47H7D0,2,01JHK10DCM31YMSEK73V6GAWRK,4,comp-within,ended,"[[166,418],[166,141],[166,48],[166,334],[295,418],[295,141],[295,48],[295,334],[80,418],[80,141],[80,48],[80,334],[356,418],[356,141],[356,48],[356,334]]",270
01JHJWWNGWETD568F5C9XFB1PY,2,01JHJWWNGK716R8JSAGXB0XHBQ,4,comp-within,ended,"[[291,342],[291,403],[291,113],[291,70],[385,342],[385,403],[385,113],[385,70],[387,342],[387,403],[387,113],[387,70],[27,342],[27,403],[27,113],[27,70]]",270
01JHJWX7MHRNSCM2KJ0BZCS0VV,2,01JHJWX7M8C42W9VQ8C90SMG4B,4,comp-within,ended,"[[110,108],[110,38],[110,2],[110,319],[381,108],[381,38],[381,2],[381,319],[62,108],[62,38],[62,2],[62,319],[13,108],[13,38],[13,2],[13,319]]",270
01JHJWWM2KVE1CESM8SR95VBHR,2,01JHJWWM2BCPZ642TT6MTZ6Z0D,4,comp-within,ended,"[[74,367],[74,463],[74,37],[74,29],[63,367],[63,463],[63,37],[63,29],[20,367],[20,463],[20,37],[20,29],[257,367],[257,463],[257,37],[257,29]]",0
01JHJWWQ5WR1E58JV6FRKG7W61,2,01JHJWWQ5KJ7CQMWTNPEXEMKHF,4,comp-within,ended,"[[199,367],[199,364],[199,443],[199,287],[265,367],[265,364],[265,443],[265,287],[135,367],[135,364],[135,443],[135,287],[461,367],[461,364],[461,443],[461,287]]",0
01JHK10E1ZZFXS4TM8184DEA5S,2,01JHK10CZ04J2QVHMPEDV8QXGK,4,comp-within,ended,"[[81,261],[81,60],[81,191],[81,323],[49,261],[49,60],[49,191],[49,323],[334,261],[334,60],[334,191],[334,323],[271,261],[271,60],[271,191],[271,323]]",270
01JHJWWPAFSAJQRNSG6VJB9275,2,01JHJWWPA7MWZSE8A60GMHYZBC,4,comp-within,ended,"[[422,125],[422,452],[422,238],[422,137],[62,125],[62,452],[62,238],[62,137],[286,125],[286,452],[286,238],[286,137],[454,125],[454,452],[454,238],[454,137]]",0
