room_num,option_set,target,stage_num,trial_num,rep_num,exclude,exclusion_reason,order_match,condition_id,describer,matchers,trial_id,game_id
1,1;2;3;4;5;6,6,1,6,1,FALSE,NA,order,1,31,11,66,11
1,1;2;3;4;5;6,3,1,1,1,FALSE,NA,order,1,32,12,67,12
1,1;2;3;4;5;6,1,1,2,1,FALSE,NA,order,1,32,12,68,12
1,1;2;3;4;5;6,4,1,3,1,FALSE,NA,order,1,32,12,69,12
1,1;2;3;4;5;6,5,1,4,1,FALSE,NA,order,1,32,12,70,12
1,1;2;3;4;5;6,2,1,5,1,FALSE,NA,order,1,32,12,71,12
1,1;2;3;4;5;6,6,1,6,1,FALSE,NA,order,1,32,12,72,12
1,1;2;3;4;5;6,3,1,1,1,FALSE,NA,order,1,33,13,73,13
1,1;2;3;4;5;6,1,1,2,1,FALSE,NA,order,1,33,13,74,13
1,1;2;3;4;5;6,5,1,3,1,FALSE,NA,order,1,33,13,75,13
1,1;2;3;4;5;6,4,1,4,1,FALSE,NA,order,1,33,13,76,13
1,1;2;3;4;5;6,2,1,5,1,FALSE,NA,order,1,33,13,77,13
1,1;2;3;4;5;6,6,1,6,1,FALSE,NA,order,1,33,13,78,13
1,1;2;3;4;5;6,2,1,1,1,FALSE,NA,order,1,34,14,79,14
1,1;2;3;4;5;6,4,1,2,1,FALSE,NA,order,1,34,14,80,14
1,1;2;3;4;5;6,6,1,3,1,FALSE,NA,order,1,34,14,81,14
1,1;2;3;4;5;6,5,1,4,1,FALSE,NA,order,1,34,14,82,14
1,1;2;3;4;5;6,3,1,5,1,FALSE,NA,order,1,34,14,83,14
1,1;2;3;4;5;6,1,1,6,1,FALSE,NA,order,1,34,14,84,14
1,1;2;3;4;5;6,1,1,1,1,FALSE,NA,order,1,35,15,85,15
1,1;2;3;4;5;6,6,1,2,1,FALSE,NA,order,1,35,15,86,15
1,1;2;3;4;5;6,5,1,3,1,FALSE,NA,order,1,35,15,87,15
1,1;2;3;4;5;6,3,1,4,1,FALSE,NA,order,1,35,15,88,15
1,1;2;3;4;5;6,2,1,5,1,FALSE,NA,order,1,35,15,89,15
1,1;2;3;4;5;6,4,1,6,1,FALSE,NA,order,1,35,15,90,15
1,1;2;3;4;5;6,1,1,1,1,FALSE,NA,order,1,36,16,91,16
1,1;2;3;4;5;6,2,1,2,1,FALSE,NA,order,1,36,16,92,16
1,1;2;3;4;5;6,5,1,3,1,FALSE,NA,order,1,36,16,93,16
1,1;2;3;4;5;6,3,1,4,1,FALSE,NA,order,1,36,16,94,16
1,1;2;3;4;5;6,6,1,5,1,FALSE,NA,order,1,36,16,95,16
1,1;2;3;4;5;6,4,1,6,1,FALSE,NA,order,1,36,16,96,16
1,1;2;3;4;5;6,3,1,1,1,FALSE,NA,order,1,37,17,97,17
1,1;2;3;4;5;6,4,1,2,1,FALSE,NA,order,1,37,17,98,17
1,1;2;3;4;5;6,5,1,3,1,FALSE,NA,order,1,37,17,99,17
1,1;2;3;4;5;6,2,1,4,1,FALSE,NA,order,1,37,17,100,17
1,1;2;3;4;5;6,6,1,5,1,FALSE,NA,order,1,37,17,101,17
1,1;2;3;4;5;6,1,1,6,1,FALSE,NA,order,1,37,17,102,17
1,1;2;3;4;5;6,3,1,1,1,FALSE,NA,order,1,38,18,103,18
1,1;2;3;4;5;6,6,1,2,1,FALSE,NA,order,1,38,18,104,18
1,1;2;3;4;5;6,1,1,3,1,FALSE,NA,order,1,38,18,105,18
1,1;2;3;4;5;6,5,1,4,1,FALSE,NA,order,1,38,18,106,18
1,1;2;3;4;5;6,4,1,5,1,FALSE,NA,order,1,38,18,107,18
1,1;2;3;4;5;6,2,1,6,1,FALSE,NA,order,1,38,18,108,18
1,1;2;3;4;5;6,4,1,1,1,FALSE,NA,order,1,39,19,109,19
1,1;2;3;4;5;6,6,1,2,1,FALSE,NA,order,1,39,19,110,19
1,1;2;3;4;5;6,3,1,3,1,FALSE,NA,order,1,39,19,111,19
1,1;2;3;4;5;6,5,1,4,1,FALSE,NA,order,1,39,19,112,19
1,1;2;3;4;5;6,1,1,5,1,FALSE,NA,order,1,39,19,113,19
1,1;2;3;4;5;6,2,1,6,1,FALSE,NA,order,1,39,19,114,19
