dataset_id,full_cite,short_cite,group_size,prior_relationship,partner_constancy,role_constancy,population,confederates,modality,feedback,backchannel,language,condition_id
dale2011_tangram,"Dale, R., Kirkham, N. Z., & Richardson, D. C. (2011). How two people become a tangram recognition system. In Proceedings of the European Conference on Computer-Supported Cooperative Work.",Dale et al. (2011),2,no,yes,yes,adults,no,oral-in-person,none,none,English,1
dale2011_tangram,"Dale, R., Kirkham, N. Z., & Richardson, D. C. (2011). How two people become a tangram recognition system. In Proceedings of the European Conference on Computer-Supported Cooperative Work.",Dale et al. (2011),2,no,yes,yes,adults,no,oral-in-person,none,none,English,2
dale2011_tangram,"Dale, R., Kirkham, N. Z., & Richardson, D. C. (2011). How two people become a tangram recognition system. In Proceedings of the European Conference on Computer-Supported Cooperative Work.",Dale et al. (2011),2,no,yes,yes,adults,no,oral-in-person,none,none,English,3
