id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01JJT2DP6VSF8Z9D9RKDS5H2VY,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-29T22:20:32.347234723Z,,,true,2025-01-29T22:20:32.352723094Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-29T22:20:32.347234723Z,running,2025-01-29T22:20:36.85050958Z
01JJT2DECKACW7AS3F1870A263,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-29T22:20:24.339153167Z,all games finished,2025-01-29T22:46:32.743788907Z,true,2025-01-29T22:20:24.351790763Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-29T22:20:24.339153167Z,ended,2025-01-29T22:46:32.743788907Z
01JJT2DG44XEQ74A8SA9FP74ZV,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-29T22:20:26.116041091Z,all games finished,2025-01-29T22:55:24.81616367Z,true,2025-01-29T22:20:26.12238725Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-29T22:20:26.116041091Z,ended,2025-01-29T22:55:24.81616367Z
01JJT2DHDDMGCYCV7BPEX6W491,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-29T22:20:27.43720065Z,all games finished,2025-01-29T22:45:28.583524645Z,true,2025-01-29T22:20:27.444331863Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-29T22:20:27.43720065Z,ended,2025-01-29T22:45:28.583524645Z
01JJT2DHZPQCKPJ13EKVAMJTFH,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-29T22:20:28.022401295Z,all games finished,2025-01-29T22:51:50.225453557Z,true,2025-01-29T22:20:28.02821441Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-29T22:20:28.022401295Z,ended,2025-01-29T22:51:50.225453557Z
01JJT2DNF41EECRYKH1NJ0MWHD,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-29T22:20:31.588223543Z,,,true,2025-01-29T22:20:31.594562747Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-29T22:20:31.588223543Z,running,2025-01-29T22:20:35.998373739Z
01JJT2DNQHTHM6XJM59CSR6X89,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-29T22:20:31.857171378Z,,,true,2025-01-29T22:20:31.862430917Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-29T22:20:31.857171378Z,running,2025-01-29T22:20:36.218044392Z
01JJT2DNZN0KF1549KW2KX23AF,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-29T22:20:32.117560856Z,,,true,2025-01-29T22:20:32.122029883Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-29T22:20:32.117560856Z,running,2025-01-29T22:20:36.540513176Z
01JJT2DWFMH8MTBBWMX91CD4JH,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-29T22:20:38.772313838Z,,,true,2025-01-29T22:20:38.777772625Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-29T22:20:38.772313838Z,running,2025-01-29T22:20:40.298700341Z
01JJT2DKYGR46EPDYQFDACH06E,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-29T22:20:30.032177157Z,all games finished,2025-01-29T22:47:51.358342778Z,true,2025-01-29T22:20:30.038418531Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-29T22:20:30.032177157Z,ended,2025-01-29T22:47:51.358342778Z
