room_num,option_set,target,stage_num,trial_num,rep_num,exclude,exclusion_reason,order_match,condition_id,describer,matchers,trial_id,game_id
1,zombie;baby,zombie,1,6,2,NA,NA,match,3,137,136,1407,69
1,dancer;zombie,dancer,1,2,1,NA,NA,match,3,145,144,1408,73
1,zombie;bunny,zombie,1,4,1,NA,NA,match,3,145,144,1409,73
1,zombie;dancer,zombie,1,5,2,NA,NA,match,3,144,145,1410,73
1,bunny;dancer,bunny,1,6,2,NA,NA,match,3,145,144,1411,73
1,dancer;bunny,dancer,1,10,3,NA,NA,match,3,145,144,1412,73
1,zombie;baby,zombie,1,12,3,NA,NA,match,3,145,144,1413,73
1,zombie;baby,zombie,1,14,4,NA,NA,match,3,145,144,1414,73
1,bunny;zombie,bunny,1,15,4,NA,NA,match,3,144,145,1415,73
1,dancer;zombie,dancer,1,1,1,NA,NA,match,3,158,159,1416,80
1,bunny;zombie,bunny,1,2,1,NA,NA,match,3,159,158,1417,80
1,bunny;baby,bunny,1,8,2,NA,NA,match,3,159,158,1418,80
1,bunny;baby,bunny,1,10,3,NA,NA,match,3,159,158,1419,80
1,zombie;baby,zombie,1,11,3,NA,NA,match,3,158,159,1420,80
1,baby;dancer,baby,1,12,3,NA,NA,match,3,159,158,1421,80
1,zombie;bunny,zombie,1,13,4,NA,NA,match,3,158,159,1422,80
1,dancer;bunny,dancer,1,16,4,NA,NA,match,3,159,158,1423,80
1,baby;zombie,baby,1,4,1,TRUE,no describer talk,match,3,187,186,1424,94
1,baby;dancer,baby,1,6,2,TRUE,no describer talk,match,3,187,186,1425,94
1,bunny;dancer,bunny,1,8,2,TRUE,no describer talk,match,3,187,186,1426,94
1,bunny;baby,bunny,1,7,2,TRUE,no describer talk,match,3,188,189,1427,95
1,zombie;baby,zombie,1,14,4,TRUE,no describer talk,match,3,189,188,1428,95
1,baby;dancer,baby,1,15,4,TRUE,no describer talk,match,3,188,189,1429,95
1,dancer;zombie,dancer,1,6,2,TRUE,no describer talk,match,3,193,192,1430,97
1,baby;bunny,baby,1,6,2,TRUE,no describer talk,match,3,197,196,1431,99
1,dancer;zombie,dancer,1,8,2,TRUE,no describer talk,match,3,197,196,1432,99
1,bunny;zombie,bunny,1,12,3,TRUE,no describer talk,match,3,197,196,1433,99
1,dancer;bunny,dancer,1,5,2,TRUE,no describer talk,match,3,200,201,1434,101
1,bunny;baby,bunny,1,11,3,TRUE,no describer talk,match,3,200,201,1435,101
1,dancer;baby,dancer,1,13,4,TRUE,no describer talk,match,3,200,201,1436,101
1,bunny;zombie,bunny,1,1,1,TRUE,no describer talk,match,3,210,209,1437,105
1,zombie;baby,zombie,1,2,1,TRUE,no describer talk,match,3,209,210,1438,105
1,dancer;bunny,dancer,1,3,1,TRUE,no describer talk,match,3,210,209,1439,105
1,baby;dancer,baby,1,4,1,TRUE,no describer talk,match,3,209,210,1440,105
1,zombie;dancer,zombie,1,5,2,TRUE,no describer talk,match,3,210,209,1441,105
1,bunny;dancer,bunny,1,6,2,TRUE,no describer talk,match,3,209,210,1442,105
1,dancer;zombie,dancer,1,7,2,TRUE,no describer talk,match,3,210,209,1443,105
1,baby;dancer,baby,1,8,2,TRUE,no describer talk,match,3,209,210,1444,105
1,dancer;baby,dancer,1,9,3,TRUE,no describer talk,match,3,210,209,1445,105
1,zombie;baby,zombie,1,10,3,TRUE,no describer talk,match,3,209,210,1446,105
1,baby;dancer,baby,1,11,3,TRUE,no describer talk,match,3,210,209,1447,105
1,bunny;baby,bunny,1,12,3,TRUE,no describer talk,match,3,209,210,1448,105
1,bunny;baby,bunny,1,13,4,TRUE,no describer talk,match,3,210,209,1449,105
1,dancer;zombie,dancer,1,14,4,TRUE,no describer talk,match,3,209,210,1450,105
1,zombie;baby,zombie,1,15,4,TRUE,no describer talk,match,3,210,209,1451,105
1,baby;bunny,baby,1,16,4,TRUE,no describer talk,match,3,209,210,1452,105
1,baby;bunny,baby,1,5,2,NA,NA,match,3,204,205,1453,103
1,bunny;zombie,bunny,1,7,2,NA,NA,match,3,204,205,1454,103
1,dancer;bunny,dancer,1,8,2,NA,NA,match,3,205,204,1455,103
1,dancer;baby,dancer,1,9,3,NA,NA,match,3,204,205,1456,103
1,baby;dancer,baby,1,10,3,NA,NA,match,3,205,204,1457,103
1,bunny;baby,bunny,1,12,3,NA,NA,match,3,205,204,1458,103
1,dancer;zombie,dancer,1,1,1,TRUE,no describer talk,match,3,212,211,1459,106
1,bunny;zombie,bunny,1,2,1,TRUE,no describer talk,match,3,211,212,1460,106
1,zombie;bunny,zombie,1,3,1,TRUE,no describer talk,match,3,212,211,1461,106
