condition_label,dataset_id,full_cite,short_cite,group_size,prior_relationship,partner_constancy,role_constancy,population,confederates,modality,feedback,backchannel,language,condition_id
adult-child,leung2024_scaffolding,"Leung, A., Yurovsky, D., & Hawkins, R. D. (2025). Parents spontaneously scaffold the formation of conversational pacts with their children. Child Development, 96(2), 546-561.",Leung et al. (2025),2,yes,yes,no,child-parent,no,oral-in-person,none,full,English,1
adult-adult,leung2024_scaffolding,"Leung, A., Yurovsky, D., & Hawkins, R. D. (2025). Parents spontaneously scaffold the formation of conversational pacts with their children. Child Development, 96(2), 546-561.",Leung et al. (2025),2,no,yes,no,adult,no,oral-in-person,none,full,English,2
