id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01JJW4HX64345S0JW7KF1BAF17,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-30T17:36:16.580439093Z,all games finished,2025-01-30T18:29:07.808599415Z,true,2025-01-30T17:36:16.585951792Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-30T17:36:16.580439093Z,ended,2025-01-30T18:29:07.808599415Z
01JJW4HZTJD67ARBC5YN61V3MP,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-30T17:36:19.282500129Z,all games finished,2025-01-30T18:40:24.324881045Z,true,2025-01-30T17:36:19.287274264Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-30T17:36:19.282500129Z,ended,2025-01-30T18:40:24.324881045Z
01JJW4J36D6MVDFSHAJZQQ7JZN,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-30T17:36:22.733118669Z,all games finished,2025-01-30T18:58:50.129189978Z,true,2025-01-30T17:36:22.739133325Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-30T17:36:22.733118669Z,ended,2025-01-30T18:58:50.129189978Z
01JJW4J3P3DJA4VHAW6XBNHTCH,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-30T17:36:23.235589677Z,all games finished,2025-01-30T18:53:22.862774308Z,true,2025-01-30T17:36:23.239716613Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-30T17:36:23.235589677Z,ended,2025-01-30T18:53:22.862774308Z
01JJW4J3YSAMRKMMJMWVFAKAKQ,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-30T17:36:23.513594044Z,all games finished,2025-01-30T19:14:35.581680732Z,true,2025-01-30T17:36:23.517717106Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-30T17:36:23.513594044Z,ended,2025-01-30T19:14:35.581680732Z
01JJW83G2EFCP88P7610ZQF3YR,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-30T18:38:18.702797933Z,all games finished,2025-01-30T19:52:11.777581733Z,true,2025-01-30T18:38:18.739190784Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-30T18:38:18.702797933Z,ended,2025-01-30T19:52:11.777581733Z
01JJW4J0J35GFPH6RAVPEZ495Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-30T17:36:20.035293396Z,all games finished,2025-01-30T18:49:02.518501038Z,true,2025-01-30T17:36:20.039791846Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-30T17:36:20.035293396Z,ended,2025-01-30T18:49:02.518501038Z
01JJW4J2Z0Y06Y82F7PDE0Y88Y,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-30T17:36:22.496077818Z,all games finished,2025-01-30T18:54:37.683572305Z,true,2025-01-30T17:36:22.502356533Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-30T17:36:22.496077818Z,ended,2025-01-30T18:54:37.683572305Z
01JJW83J6DYX36B5V0W8812QHJ,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-30T18:38:20.877430992Z,,,true,2025-01-30T18:38:20.911948151Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-30T18:38:20.877430992Z,running,2025-01-30T18:40:31.10722009Z
01JJW4HWKJGTBMG5NC5ATZ9XEW,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-30T17:36:15.987022091Z,all games finished,2025-01-30T18:13:55.08744832Z,true,2025-01-30T17:36:15.99358783Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-30T17:36:15.987022091Z,ended,2025-01-30T18:13:55.08744832Z
