dataset_id,full_cite,short_cite,group_size,structure,language,condition_id
mankewitz2025_compositional,Mankewitz & Hawkins (2025) unpublished,Mankewitz & Hawkins (2025),2,thick,English,1
mankewitz2025_compositional,Mankewitz & Hawkins (2025) unpublished,Mankewitz & Hawkins (2025),2,thick,English,2
mankewitz2025_compositional,Mankewitz & Hawkins (2025) unpublished,Mankewitz & Hawkins (2025),2,thick,English,3
