condition_label,dataset_id,full_cite,short_cite,group_size,prior_relationship,partner_constancy,role_constancy,population,confederates,modality,feedback,backchannel,language,condition_id
cued,hawkins2020_characterizing,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020). Characterizing the dynamics of learning in repeated reference games. Cognitive science, 44(6), e12845.",Hawkins et al. (2020),2,no,yes,yes,adult,no,written,full,full,English,1
unconstrained,hawkins2020_characterizing,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020). Characterizing the dynamics of learning in repeated reference games. Cognitive science, 44(6), e12845.",Hawkins et al. (2020),2,no,yes,yes,adult,no,written,full,full,English,2
