room_num,option_set,target,stage_num,trial_num,rep_num,exclude,exclusion_reason,order_match,condition_id,describer,matchers,trial_id,game_id
1,A;B;C;D;E;F;G;H;I;J;K;L,F,1,51,5,FALSE,NA,match,1,124,1,51,1
1,A;B;C;D;E;F;G;H;I;J;K;L,A,1,52,5,FALSE,NA,match,1,124,1,52,1
1,A;B;C;D;E;F;G;H;I;J;K;L,I,1,53,5,FALSE,NA,match,1,124,1,53,1
1,A;B;C;D;E;F;G;H;I;J;K;L,D,1,54,5,FALSE,NA,match,1,124,1,54,1
1,A;B;C;D;E;F;G;H;I;J;K;L,H,1,55,5,FALSE,NA,match,1,124,1,55,1
1,A;B;C;D;E;F;G;H;I;J;K;L,L,1,56,5,FALSE,NA,match,1,124,1,56,1
1,A;B;C;D;E;F;G;H;I;J;K;L,J,1,57,5,FALSE,NA,match,1,124,1,57,1
1,A;B;C;D;E;F;G;H;I;J;K;L,E,1,58,5,FALSE,NA,match,1,124,1,58,1
1,A;B;C;D;E;F;G;H;I;J;K;L,B,1,59,5,FALSE,NA,match,1,124,1,59,1
1,A;B;C;D;E;F;G;H;I;J;K;L,G,1,60,5,FALSE,NA,match,1,124,1,60,1
1,A;B;C;D;E;F;G;H;I;J;K;L,G,1,61,6,FALSE,NA,match,1,124,1,61,1
1,A;B;C;D;E;F;G;H;I;J;K;L,L,1,62,6,FALSE,NA,match,1,124,1,62,1
1,A;B;C;D;E;F;G;H;I;J;K;L,B,1,63,6,FALSE,NA,match,1,124,1,63,1
1,A;B;C;D;E;F;G;H;I;J;K;L,D,1,64,6,FALSE,NA,match,1,124,1,64,1
1,A;B;C;D;E;F;G;H;I;J;K;L,K,1,65,6,FALSE,NA,match,1,124,1,65,1
1,A;B;C;D;E;F;G;H;I;J;K;L,E,1,66,6,FALSE,NA,match,1,124,1,66,1
1,A;B;C;D;E;F;G;H;I;J;K;L,F,1,67,6,FALSE,NA,match,1,124,1,67,1
1,A;B;C;D;E;F;G;H;I;J;K;L,H,1,68,6,FALSE,NA,match,1,124,1,68,1
1,A;B;C;D;E;F;G;H;I;J;K;L,J,1,69,6,FALSE,NA,match,1,124,1,69,1
1,A;B;C;D;E;F;G;H;I;J;K;L,I,1,70,6,FALSE,NA,match,1,124,1,70,1
1,A;B;C;D;E;F;G;H;I;J;K;L,C,1,71,6,FALSE,NA,match,1,124,1,71,1
1,A;B;C;D;E;F;G;H;I;J;K;L,A,1,72,6,FALSE,NA,match,1,124,1,72,1
1,A;B;C;D;E;F;G;H;I;J;K;L,A,1,1,1,FALSE,NA,match,1,125,2,73,2
1,A;B;C;D;E;F;G;H;I;J;K;L,J,1,2,1,FALSE,NA,match,1,125,2,74,2
1,A;B;C;D;E;F;G;H;I;J;K;L,K,1,3,1,FALSE,NA,match,1,125,2,75,2
1,A;B;C;D;E;F;G;H;I;J;K;L,G,1,4,1,FALSE,NA,match,1,125,2,76,2
1,A;B;C;D;E;F;G;H;I;J;K;L,L,1,5,1,FALSE,NA,match,1,125,2,77,2
1,A;B;C;D;E;F;G;H;I;J;K;L,I,1,6,1,FALSE,NA,match,1,125,2,78,2
1,A;B;C;D;E;F;G;H;I;J;K;L,H,1,7,1,FALSE,NA,match,1,125,2,79,2
1,A;B;C;D;E;F;G;H;I;J;K;L,B,1,8,1,FALSE,NA,match,1,125,2,80,2
