choice_id,player_id,time_stamp,trial_id
E,2,NA,1
B,2,NA,2
F,2,NA,3
I,2,NA,4
D,2,NA,5
H,2,NA,6
J,2,NA,7
K,2,NA,8
L,2,NA,9
A,2,NA,10
C,2,NA,11
G,2,NA,12
B,2,NA,13
E,2,NA,14
D,2,NA,15
K,2,NA,16
J,2,NA,17
C,2,NA,18
G,2,NA,19
F,2,NA,20
H,2,NA,21
A,2,NA,22
L,2,NA,23
I,2,NA,24
H,2,NA,25
L,2,NA,26
G,2,NA,27
E,2,NA,28
A,2,NA,29
D,2,NA,30
B,2,NA,31
F,2,NA,32
I,2,NA,33
J,2,NA,34
C,2,NA,35
K,2,NA,36
B,2,NA,37
K,2,NA,38
C,2,NA,39
H,2,NA,40
I,2,NA,41
L,2,NA,42
J,2,NA,43
A,2,NA,44
D,2,NA,45
G,2,NA,46
E,2,NA,47
F,2,NA,48
D,2,NA,49
F,2,NA,50
B,2,NA,51
K,2,NA,52
H,2,NA,53
C,2,NA,54
A,2,NA,55
E,2,NA,56
J,2,NA,57
L,2,NA,58
I,2,NA,59
G,2,NA,60
H,2,NA,61
L,2,NA,62
A,2,NA,63
I,2,NA,64
B,2,NA,65
J,2,NA,66
E,2,NA,67
G,2,NA,68
K,2,NA,69
F,2,NA,70
C,2,NA,71
D,2,NA,72
B,4,NA,73
G,4,NA,74
I,4,NA,75
F,4,NA,76
A,4,NA,77
D,4,NA,78
J,4,NA,79
H,4,NA,80
L,4,NA,81
K,4,NA,82
C,4,NA,83
E,4,NA,84
H,4,NA,85
G,4,NA,86
A,4,NA,87
C,4,NA,88
L,4,NA,89
D,4,NA,90
K,4,NA,91
B,4,NA,92
F,4,NA,93
J,4,NA,94
E,4,NA,95
I,4,NA,96
D,4,NA,97
B,4,NA,98
A,4,NA,99
F,4,NA,100
J,4,NA,101
L,4,NA,102
E,4,NA,103
G,4,NA,104
C,4,NA,105
I,4,NA,106
K,4,NA,107
H,4,NA,108
C,4,NA,109
B,4,NA,110
G,4,NA,111
H,4,NA,112
L,4,NA,113
A,4,NA,114
J,4,NA,115
D,4,NA,116
K,4,NA,117
I,4,NA,118
F,4,NA,119
E,4,NA,120
K,4,NA,121
A,4,NA,122
G,4,NA,123
D,4,NA,124
H,4,NA,125
C,4,NA,126
F,4,NA,127
L,4,NA,128
E,4,NA,129
I,4,NA,130
J,4,NA,131
B,4,NA,132
K,4,NA,133
F,4,NA,134
I,4,NA,135
C,4,NA,136
L,4,NA,137
A,4,NA,138
B,4,NA,139
G,4,NA,140
J,4,NA,141
D,4,NA,142
E,4,NA,143
H,4,NA,144
C,6,NA,145
L,6,NA,146
F,6,NA,147
K,6,NA,148
H,6,NA,149
D,6,NA,150
J,6,NA,151
E,6,NA,152
G,6,NA,153
B,6,NA,154
I,6,NA,155
A,6,NA,156
J,6,NA,157
L,6,NA,158
I,6,NA,159
G,6,NA,160
D,6,NA,161
A,6,NA,162
H,6,NA,163
E,6,NA,164
K,6,NA,165
C,6,NA,166
F,6,NA,167
B,6,NA,168
G,6,NA,169
L,6,NA,170
E,6,NA,171
I,6,NA,172
D,6,NA,173
H,6,NA,174
A,6,NA,175
K,6,NA,176
F,6,NA,177
J,6,NA,178
B,6,NA,179
C,6,NA,180
L,6,NA,181
C,6,NA,182
F,6,NA,183
E,6,NA,184
I,6,NA,185
K,6,NA,186
D,6,NA,187
J,6,NA,188
B,6,NA,189
G,6,NA,190
H,6,NA,191
A,6,NA,192
I,6,NA,193
C,6,NA,194
D,6,NA,195
E,6,NA,196
K,6,NA,197
G,6,NA,198
L,6,NA,199
B,6,NA,200
F,6,NA,201
H,6,NA,202
J,6,NA,203
A,6,NA,204
E,6,NA,205
I,6,NA,206
L,6,NA,207
G,6,NA,208
K,6,NA,209
D,6,NA,210
B,6,NA,211
H,6,NA,212
J,6,NA,213
F,6,NA,214
C,6,NA,215
A,6,NA,216
J,8,NA,217
L,8,NA,218
E,8,NA,219
G,8,NA,220
H,8,NA,221
A,8,NA,222
D,8,NA,223
F,8,NA,224
I,8,NA,225
C,8,NA,226
K,8,NA,227
B,8,NA,228
I,8,NA,229
B,8,NA,230
D,8,NA,231
K,8,NA,232
F,8,NA,233
L,8,NA,234
J,8,NA,235
C,8,NA,236
A,8,NA,237
H,8,NA,238
E,8,NA,239
G,8,NA,240
F,8,NA,241
A,8,NA,242
I,8,NA,243
G,8,NA,244
J,8,NA,245
E,8,NA,246
H,8,NA,247
D,8,NA,248
B,8,NA,249
L,8,NA,250
C,8,NA,251
K,8,NA,252
F,8,NA,253
K,8,NA,254
E,8,NA,255
J,8,NA,256
L,8,NA,257
I,8,NA,258
A,8,NA,259
D,8,NA,260
H,8,NA,261
C,8,NA,262
G,8,NA,263
B,8,NA,264
C,8,NA,265
E,8,NA,266
I,8,NA,267
H,8,NA,268
G,8,NA,269
L,8,NA,270
K,8,NA,271
J,8,NA,272
D,8,NA,273
B,8,NA,274
A,8,NA,275
F,8,NA,276
E,8,NA,277
A,8,NA,278
J,8,NA,279
I,8,NA,280
G,8,NA,281
B,8,NA,282
K,8,NA,283
L,8,NA,284
D,8,NA,285
H,8,NA,286
F,8,NA,287
C,8,NA,288
G,10,NA,289
B,10,NA,290
L,10,NA,291
J,10,NA,292
K,10,NA,293
D,10,NA,294
I,10,NA,295
F,10,NA,296
C,10,NA,297
E,10,NA,298
A,10,NA,299
H,10,NA,300
D,10,NA,301
I,10,NA,302
L,10,NA,303
J,10,NA,304
K,10,NA,305
A,10,NA,306
H,10,NA,307
E,10,NA,308
B,10,NA,309
F,10,NA,310
G,10,NA,311
C,10,NA,312
B,10,NA,313
I,10,NA,314
A,10,NA,315
J,10,NA,316
E,10,NA,317
L,10,NA,318
K,10,NA,319
C,10,NA,320
F,10,NA,321
D,10,NA,322
H,10,NA,323
G,10,NA,324
K,10,NA,325
J,10,NA,326
G,10,NA,327
E,10,NA,328
B,10,NA,329
C,10,NA,330
H,10,NA,331
L,10,NA,332
D,10,NA,333
F,10,NA,334
A,10,NA,335
I,10,NA,336
G,10,NA,337
K,10,NA,338
F,10,NA,339
B,10,NA,340
H,10,NA,341
E,10,NA,342
I,10,NA,343
A,10,NA,344
C,10,NA,345
D,10,NA,346
L,10,NA,347
J,10,NA,348
G,10,NA,349
L,10,NA,350
H,10,NA,351
D,10,NA,352
J,10,NA,353
C,10,NA,354
I,10,NA,355
E,10,NA,356
F,10,NA,357
K,10,NA,358
A,10,NA,359
B,10,NA,360
E,12,NA,361
A,12,NA,362
F,12,NA,363
H,12,NA,364
C,12,NA,365
I,12,NA,366
B,12,NA,367
J,12,NA,368
G,12,NA,369
D,12,NA,370
L,12,NA,371
K,12,NA,372
F,12,NA,373
D,12,NA,374
I,12,NA,375
G,12,NA,376
K,12,NA,377
J,12,NA,378
H,12,NA,379
A,12,NA,380
B,12,NA,381
E,12,NA,382
C,12,NA,383
L,12,NA,384
K,12,NA,385
E,12,NA,386
G,12,NA,387
D,12,NA,388
J,12,NA,389
A,12,NA,390
H,12,NA,391
L,12,NA,392
I,12,NA,393
B,12,NA,394
C,12,NA,395
F,12,NA,396
A,12,NA,397
B,12,NA,398
K,12,NA,399
F,12,NA,400
J,12,NA,401
G,12,NA,402
E,12,NA,403
D,12,NA,404
L,12,NA,405
I,12,NA,406
H,12,NA,407
C,12,NA,408
E,12,NA,409
I,12,NA,410
J,12,NA,411
D,12,NA,412
C,12,NA,413
A,12,NA,414
L,12,NA,415
K,12,NA,416
G,12,NA,417
H,12,NA,418
F,12,NA,419
B,12,NA,420
I,12,NA,421
J,12,NA,422
L,12,NA,423
H,12,NA,424
A,12,NA,425
B,12,NA,426
K,12,NA,427
F,12,NA,428
C,12,NA,429
G,12,NA,430
E,12,NA,431
D,12,NA,432
G,14,NA,433
A,14,NA,434
D,14,NA,435
E,14,NA,436
B,14,NA,437
K,14,NA,438
F,14,NA,439
C,14,NA,440
J,14,NA,441
H,14,NA,442
I,14,NA,443
L,14,NA,444
D,14,NA,445
F,14,NA,446
G,14,NA,447
A,14,NA,448
C,14,NA,449
K,14,NA,450
I,14,NA,451
H,14,NA,452
L,14,NA,453
E,14,NA,454
J,14,NA,455
B,14,NA,456
F,14,NA,457
I,14,NA,458
J,14,NA,459
D,14,NA,460
E,14,NA,461
K,14,NA,462
L,14,NA,463
G,14,NA,464
B,14,NA,465
C,14,NA,466
H,14,NA,467
A,14,NA,468
B,14,NA,469
E,14,NA,470
C,14,NA,471
L,14,NA,472
G,14,NA,473
F,14,NA,474
K,14,NA,475
I,14,NA,476
H,14,NA,477
D,14,NA,478
A,14,NA,479
J,14,NA,480
B,14,NA,481
A,14,NA,482
D,14,NA,483
H,14,NA,484
I,14,NA,485
G,14,NA,486
J,14,NA,487
L,14,NA,488
E,14,NA,489
C,14,NA,490
F,14,NA,491
K,14,NA,492
E,14,NA,493
D,14,NA,494
I,14,NA,495
C,14,NA,496
A,14,NA,497
B,14,NA,498
K,14,NA,499
G,14,NA,500
L,14,NA,501
H,14,NA,502
J,14,NA,503
F,14,NA,504
H,16,NA,505
J,16,NA,506
L,16,NA,507
F,16,NA,508
K,16,NA,509
I,16,NA,510
G,16,NA,511
B,16,NA,512
E,16,NA,513
C,16,NA,514
A,16,NA,515
D,16,NA,516
G,16,NA,517
K,16,NA,518
F,16,NA,519
C,16,NA,520
I,16,NA,521
J,16,NA,522
E,16,NA,523
L,16,NA,524
D,16,NA,525
B,16,NA,526
H,16,NA,527
A,16,NA,528
E,16,NA,529
H,16,NA,530
G,16,NA,531
D,16,NA,532
I,16,NA,533
K,16,NA,534
A,16,NA,535
L,16,NA,536
F,16,NA,537
C,16,NA,538
J,16,NA,539
B,16,NA,540
L,16,NA,541
A,16,NA,542
F,16,NA,543
I,16,NA,544
J,16,NA,545
H,16,NA,546
D,16,NA,547
B,16,NA,548
G,16,NA,549
C,16,NA,550
E,16,NA,551
K,16,NA,552
E,16,NA,553
I,16,NA,554
K,16,NA,555
C,16,NA,556
F,16,NA,557
J,16,NA,558
D,16,NA,559
L,16,NA,560
H,16,NA,561
G,16,NA,562
B,16,NA,563
A,16,NA,564
G,16,NA,565
F,16,NA,566
I,16,NA,567
D,16,NA,568
E,16,NA,569
K,16,NA,570
B,16,NA,571
C,16,NA,572
L,16,NA,573
A,16,NA,574
H,16,NA,575
J,16,NA,576
K,18,NA,577
H,18,NA,578
F,18,NA,579
C,18,NA,580
A,18,NA,581
G,18,NA,582
E,18,NA,583
B,18,NA,584
L,18,NA,585
I,18,NA,586
D,18,NA,587
J,18,NA,588
F,18,NA,589
A,18,NA,590
J,18,NA,591
D,18,NA,592
B,18,NA,593
L,18,NA,594
C,18,NA,595
G,18,NA,596
I,18,NA,597
K,18,NA,598
H,18,NA,599
E,18,NA,600
D,18,NA,601
F,18,NA,602
J,18,NA,603
A,18,NA,604
C,18,NA,605
H,18,NA,606
B,18,NA,607
L,18,NA,608
E,18,NA,609
I,18,NA,610
K,18,NA,611
G,18,NA,612
H,18,NA,613
C,18,NA,614
A,18,NA,615
G,18,NA,616
L,18,NA,617
B,18,NA,618
E,18,NA,619
D,18,NA,620
